Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 0, 1

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
38, 18, 0.999, 0.007, 0.0489505, 0.00883348, 0.365806, 0.0247126, 0.629272, 0.320299, 0.76625, 0.766316, 0.238421, 0.999, 0.839164, 0.0181919, 0.142644
39, 14, 1, 0, 0.0488396, 0.00926044, 0.367547, 0.0219702, 0.635733, 0.354458, 0.765, 0.754737, 0.232105, 1, 0.83978, 0.0155657, 0.144655
40, 13, 1, 0, 0.0488607, 0.0107486, 0.364182, 0.0221816, 0.748219, 0.404899, 0.7625, 0.757895, 0.232895, 1, 0.839663, 0.0179253, 0.142412
41, 15, 0.9995, 0.00497494, 0.0477211, 0.0105874, 0.361624, 0.0268634, 0.677437, 0.35589, 0.7575, 0.762105, 0.235263, 0.9995, 0.845994, 0.0159434, 0.138063
42, 16, 1, 0, 0.0491062, 0.0101213, 0.366129, 0.0265114, 0.726072, 0.30997, 0.75875, 0.757368, 0.237105, 1, 0.838299, 0.017802, 0.143899
43, 12, 1, 0, 0.0494749, 0.00944562, 0.368618, 0.0251472, 0.619482, 0.315263, 0.7575, 0.755789, 0.238158, 1, 0.836251, 0.0164747, 0.147275
44, 25, 1, 0, 0.0488669, 0.00861625, 0.364533, 0.0246346, 0.687079, 0.372365, 0.7625, 0.76, 0.237368, 1, 0.839628, 0.0179273, 0.142444
45, 14, 1, 0, 0.04872, 0.00983873, 0.365244, 0.0241717, 0.628952, 0.358738, 0.76875, 0.758421, 0.237895, 1, 0.840444, 0.0153919, 0.144164
46, 19, 0.9965, 0.0127574, 0.0535924, 0.0123147, 0.362671, 0.0267881, 0.725579, 0.325769, 0.7525, 0.76, 0.234474, 0.9965, 0.813376, 0.0234687, 0.163156
47, 13, 0.9985, 0.00852936, 0.0484287, 0.00940746, 0.356012, 0.0244616, 0.64672, 0.326152, 0.76875, 0.761053, 0.240526, 0.9985, 0.842063, 0.0226182, 0.135319
48, 15, 0.999, 0.007, 0.0486793, 0.00976473, 0.363855, 0.0226417, 0.74167, 0.336197, 0.7725, 0.758421, 0.238684, 0.999, 0.840671, 0.0205091, 0.13882
49, 11, 0.999, 0.007, 0.0482855, 0.00954841, 0.359863, 0.0280305, 0.662577, 0.332348, 0.76625, 0.769474, 0.239737, 0.999, 0.842859, 0.0211717, 0.13597
50, 11, 0.997, 0.0118743, 0.0477964, 0.0084574, 0.356752, 0.029731, 0.610992, 0.32273, 0.76625, 0.774737, 0.241842, 0.997, 0.845576, 0.019703, 0.134721
51, 24, 1, 0, 0.0478422, 0.00973786, 0.356889, 0.0294109, 0.656076, 0.313636, 0.77375, 0.776842, 0.243947, 1, 0.845321, 0.0191697, 0.135509
52, 16, 1, 0, 0.0481585, 0.00863819, 0.361438, 0.0262157, 0.59925, 0.30175, 0.77125, 0.768947, 0.24, 1, 0.843564, 0.0162747, 0.140162
53, 10, 0.999, 0.007, 0.0489905, 0.00947663, 0.363766, 0.0251749, 0.671145, 0.32, 0.75875, 0.76, 0.236316, 0.999, 0.838941, 0.0185051, 0.142554
54, 21, 1, 0, 0.0505607, 0.00925493, 0.363253, 0.0229739, 0.534956, 0.364576, 0.765, 0.757368, 0.238421, 1, 0.830218, 0.0195535, 0.150228
55, 9, 1, 0, 0.0519516, 0.0099219, 0.369661, 0.021333, 0.526736, 0.395405, 0.76375, 0.756316, 0.238158, 1, 0.822491, 0.0204727, 0.157036
56, 12, 1, 0, 0.0500945, 0.00841458, 0.368113, 0.0240245, 0.586698, 0.372287, 0.76375, 0.761579, 0.24, 1, 0.832808, 0.0182202, 0.148972
57, 22, 1, 0, 0.0486767, 0.00910855, 0.366384, 0.0260734, 0.630807, 0.36127, 0.76375, 0.761579, 0.241579, 1, 0.840685, 0.0191455, 0.14017
58, 19, 1, 0, 0.0508171, 0.00937995, 0.361329, 0.0337116, 0.666006, 0.369815, 0.7575, 0.761053, 0.242895, 1, 0.828794, 0.0216283, 0.149578
59, 16, 0.9995, 0.00497494, 0.0512804, 0.00917345, 0.363333, 0.0328682, 0.559863, 0.371984, 0.75625, 0.757368, 0.242368, 0.9995, 0.82622, 0.0231172, 0.150663
60, 11, 1, 0, 0.0513873, 0.00815189, 0.365588, 0.028173, 0.558406, 0.394103, 0.7675, 0.757895, 0.244474, 1, 0.825626, 0.019897, 0.154477
61, 16, 1, 0, 0.0502905, 0.00942136, 0.36219, 0.0277391, 0.515711, 0.387452, 0.77125, 0.758947, 0.246579, 1, 0.831719, 0.0203515, 0.147929
62, 13, 1, 0, 0.0501531, 0.0091731, 0.361063, 0.0308865, 0.608304, 0.354759, 0.77125, 0.760526, 0.249737, 1, 0.832483, 0.0214343, 0.146083
63, 14, 0.9985, 0.00852936, 0.0506935, 0.0102352, 0.3652, 0.0296551, 0.682872, 0.389478, 0.7725, 0.758421, 0.246579, 0.9985, 0.829481, 0.0180909, 0.152428
64, 19, 1, 0, 0.051528, 0.00876183, 0.366226, 0.0275515, 0.568196, 0.417165, 0.7725, 0.753158, 0.245263, 1, 0.824844, 0.018198, 0.156958
65, 23, 1, 0, 0.0514215, 0.0112498, 0.367051, 0.0289936, 0.735647, 0.407589, 0.76, 0.754737, 0.248684, 1, 0.825436, 0.0199414, 0.154622
66, 17, 1, 0, 0.0516589, 0.00954071, 0.363103, 0.0326225, 0.653161, 0.378172, 0.76375, 0.756842, 0.250789, 1, 0.824117, 0.0204848, 0.155398
67, 15, 1, 0, 0.0485404, 0.0112029, 0.362339, 0.0318971, 0.616415, 0.362243, 0.7675, 0.759474, 0.253684, 1, 0.841442, 0.0179798, 0.140578
68, 21, 0.9995, 0.00497494, 0.0491029, 0.00964191, 0.365592, 0.0340383, 0.654064, 0.339507, 0.76125, 0.761053, 0.255, 0.9995, 0.838317, 0.019703, 0.14198
69, 17, 1, 0, 0.0514284, 0.00957043, 0.368679, 0.0300625, 0.622504, 0.370078, 0.7725, 0.750526, 0.255263, 1, 0.825398, 0.0214202, 0.153182
70, 19, 1, 0, 0.0497549, 0.00931215, 0.36324, 0.0297452, 0.690485, 0.411344, 0.77125, 0.750526, 0.257105, 1, 0.834695, 0.0213071, 0.143998
71, 16, 1, 0, 0.049764, 0.0112126, 0.361875, 0.0304809, 0.625254, 0.394194, 0.76375, 0.756842, 0.255, 1, 0.834644, 0.0219657, 0.14339
72, 13, 1, 0, 0.0496229, 0.0091841, 0.364133, 0.028447, 0.650564, 0.405727, 0.7625, 0.754211, 0.252105, 1, 0.835428, 0.018903, 0.145669
73, 17, 1, 0, 0.0502989, 0.00989253, 0.362085, 0.0297861, 0.60084, 0.415014, 0.765, 0.751053, 0.251842, 1, 0.831673, 0.0205737, 0.147754
74, 17, 0.997, 0.0118743, 0.0537058, 0.00949327, 0.370982, 0.0313349, 0.641042, 0.319506, 0.7725, 0.755263, 0.252632, 0.997, 0.812745, 0.0233879, 0.163867
75, 15, 0.9945, 0.0156445, 0.0528385, 0.00996563, 0.370937, 0.0311555, 0.620094, 0.303969, 0.78, 0.745789, 0.250263, 0.9945, 0.817564, 0.0228202, 0.159616
76, 19, 1, 0, 0.051312, 0.00993332, 0.366347, 0.0318578, 0.720985, 0.297583, 0.7725, 0.751053, 0.25, 1, 0.826044, 0.0195394, 0.154416
77, 15, 1, 0, 0.0498302, 0.00860736, 0.367475, 0.0341326, 0.631981, 0.293527, 0.7575, 0.748947, 0.249737, 1, 0.834277, 0.0225152, 0.143208
78, 13, 1, 0, 0.0512185, 0.00939741, 0.365212, 0.032692, 0.666087, 0.296239, 0.76375, 0.748947, 0.249474, 1, 0.826564, 0.0214525, 0.151984
79, 22, 1, 0, 0.0489251, 0.00858496, 0.366921, 0.0332801, 0.558417, 0.295285, 0.76375, 0.751053, 0.251316, 1, 0.839305, 0.0191273, 0.141568
80, 13, 1, 0, 0.0517796, 0.00928972, 0.369564, 0.0301151, 0.630667, 0.354282, 0.75625, 0.735789, 0.252105, 1, 0.823446, 0.019701, 0.156853
81, 17, 1, 0, 0.0525364, 0.00966026, 0.371422, 0.0285519, 0.596324, 0.352175, 0.7625, 0.735789, 0.254474, 1, 0.819242, 0.0226808, 0.158077
82, 16, 1, 0, 0.05048, 0.009003, 0.36516, 0.0301489, 0.5564, 0.336401, 0.7625, 0.745263, 0.251316, 1, 0.830667, 0.0206646, 0.148669
83, 14, 1, 0, 0.0527993, 0.00974456, 0.366893, 0.0294892, 0.541233, 0.34265, 0.76125, 0.742105, 0.249211, 1, 0.817782, 0.0211818, 0.161036
84, 22, 1, 0, 0.0507585, 0.0102142, 0.369592, 0.032323, 0.631437, 0.364856, 0.76, 0.751053, 0.254474, 1, 0.829119, 0.019301, 0.15158
85, 12, 1, 0, 0.0499298, 0.0120216, 0.358368, 0.0426836, 0.639967, 0.330991, 0.745, 0.761579, 0.256053, 1, 0.833723, 0.0203616, 0.145915
86, 9, 1, 0, 0.0518044, 0.0112716, 0.362113, 0.038591, 0.737195, 0.353972, 0.7475, 0.758421, 0.253158, 1, 0.823309, 0.0209131, 0.155778
87, 14, 1, 0, 0.0520684, 0.0107465, 0.360541, 0.0375874, 0.574777, 0.350892, 0.75, 0.757368, 0.253421, 1, 0.821842, 0.023204, 0.154954
88, 17, 1, 0, 0.0534593, 0.0115386, 0.360457, 0.0364841, 0.633031, 0.338637, 0.75375, 0.758421, 0.256579, 1, 0.814115, 0.023598, 0.162287
89, 18, 1, 0, 0.0539916, 0.00979317, 0.371822, 0.0284742, 0.530127, 0.362356, 0.7575, 0.747895, 0.252895, 1, 0.811158, 0.0241253, 0.164717
90, 20, 1, 0, 0.0533033, 0.00866733, 0.372388, 0.0262339, 0.592312, 0.376145, 0.7675, 0.741579, 0.250263, 1, 0.814982, 0.0231556, 0.161863
91, 20, 1, 0, 0.0524887, 0.00897318, 0.37004, 0.0281826, 0.531571, 0.358672, 0.7625, 0.741579, 0.246842, 1, 0.819507, 0.020897, 0.159596
92, 10, 1, 0, 0.0518171, 0.0120158, 0.367236, 0.0359471, 0.733312, 0.341202, 0.7425, 0.757368, 0.252632, 1, 0.823238, 0.0223535, 0.154408
93, 12, 1, 0, 0.0517044, 0.0116286, 0.362683, 0.0387743, 0.680264, 0.345035, 0.7375, 0.761053, 0.254737, 1, 0.823865, 0.0248141, 0.151321
94, 15, 1, 0, 0.051844, 0.0106354, 0.36196, 0.037016, 0.734062, 0.360552, 0.745, 0.76, 0.252895, 1, 0.823089, 0.0242141, 0.152697
95, 11, 1, 0, 0.0504233, 0.0108111, 0.366384, 0.0360324, 0.659833, 0.334545, 0.745, 0.762105, 0.251053, 1, 0.830982, 0.0213212, 0.147697
96, 14, 0.9995, 0.00497494, 0.0524658, 0.0113925, 0.371903, 0.039189, 0.695527, 0.330158, 0.735, 0.764737, 0.253947, 0.9995, 0.819634, 0.020004, 0.160362
97, 10, 1, 0, 0.0519705, 0.0105137, 0.372578, 0.0370405, 0.612893, 0.353519, 0.7375, 0.76, 0.252368, 1, 0.822386, 0.0208081, 0.156806
98, 13, 1, 0, 0.0521884, 0.00992784, 0.371875, 0.0339466, 0.572957, 0.34419, 0.745, 0.754737, 0.250263, 1, 0.821176, 0.0221919, 0.156632
99, 14, 1, 0, 0.0521985, 0.0110791, 0.370149, 0.0383961, 0.656649, 0.338987, 0.7375, 0.76, 0.252105, 1, 0.821119, 0.0231071, 0.155774
