Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 0, 1

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
0, 16, 0.493, 0.121865, 0.153701, 0.0186588, 0.637907, 0.00966449, 0.471261, 0.456102, 0.5225, 0.493158, 0.484474, 0.493, 0.257214, 0.237713, 0.505073
1, 17, 0.562, 0.117073, 0.146186, 0.0187526, 0.632388, 0.0142243, 0.532349, 0.477674, 0.545, 0.527368, 0.453158, 0.562, 0.298968, 0.200388, 0.500644
2, 15, 0.6005, 0.119268, 0.142224, 0.017796, 0.627075, 0.0165613, 0.453987, 0.464728, 0.56, 0.546842, 0.44, 0.6005, 0.32098, 0.192349, 0.486671
3, 12, 0.6715, 0.113854, 0.129867, 0.0150841, 0.605943, 0.0217068, 0.550779, 0.468442, 0.585, 0.589474, 0.401842, 0.6715, 0.389628, 0.151998, 0.458374
4, 16, 0.711, 0.100145, 0.121806, 0.0146809, 0.58916, 0.0243689, 0.521076, 0.500614, 0.6025, 0.613158, 0.379737, 0.711, 0.43441, 0.135952, 0.429638
5, 12, 0.76, 0.0839643, 0.112607, 0.0155931, 0.566331, 0.0282586, 0.627085, 0.405164, 0.63375, 0.637895, 0.354737, 0.76, 0.485517, 0.111588, 0.402895
6, 19, 0.789, 0.0753591, 0.103774, 0.0139307, 0.549317, 0.0280636, 0.515626, 0.4352, 0.6425, 0.653684, 0.334737, 0.789, 0.53459, 0.0954545, 0.369956
7, 18, 0.834, 0.065146, 0.0977945, 0.0136364, 0.515996, 0.0283891, 0.509666, 0.519008, 0.6675, 0.688421, 0.316316, 0.834, 0.567808, 0.0867475, 0.345444
8, 16, 0.864, 0.0583438, 0.0878535, 0.0140052, 0.493556, 0.0262374, 0.556906, 0.55254, 0.67375, 0.708947, 0.299211, 0.864, 0.623036, 0.0713051, 0.305659
9, 14, 0.887, 0.0555068, 0.0824436, 0.0127731, 0.475091, 0.0275318, 0.504448, 0.485909, 0.6775, 0.716842, 0.283158, 0.887, 0.653091, 0.0633071, 0.283602
10, 13, 0.9085, 0.0469335, 0.0792324, 0.0149933, 0.453782, 0.027396, 0.580589, 0.442971, 0.67625, 0.730526, 0.268684, 0.9085, 0.670931, 0.0616364, 0.267432
11, 14, 0.924, 0.0438634, 0.0738062, 0.0159448, 0.438707, 0.0273858, 0.639612, 0.37479, 0.69125, 0.741579, 0.261579, 0.924, 0.701077, 0.0521212, 0.246802
12, 17, 0.9375, 0.0420565, 0.0694244, 0.0145611, 0.422812, 0.0256977, 0.650269, 0.497907, 0.7025, 0.752632, 0.258947, 0.9375, 0.72542, 0.0493697, 0.22521
13, 15, 0.9495, 0.0403082, 0.0652898, 0.0143262, 0.412917, 0.0253195, 0.625058, 0.440593, 0.7225, 0.753158, 0.255263, 0.9495, 0.74839, 0.0446505, 0.20696
14, 21, 0.9635, 0.0366436, 0.062148, 0.0145414, 0.399826, 0.0255772, 0.641892, 0.414176, 0.73, 0.769474, 0.251842, 0.9635, 0.765844, 0.038303, 0.195853
15, 12, 0.975, 0.0287228, 0.0554411, 0.0112126, 0.386554, 0.0233158, 0.62817, 0.359265, 0.7425, 0.776842, 0.250263, 0.975, 0.803105, 0.0296283, 0.167267
16, 12, 0.9815, 0.0241402, 0.0553022, 0.0134462, 0.380352, 0.0237625, 0.741861, 0.330747, 0.745, 0.774737, 0.245263, 0.9815, 0.803877, 0.0264202, 0.169703
17, 14, 0.9845, 0.0231247, 0.0525636, 0.0115455, 0.378578, 0.0232882, 0.715562, 0.340631, 0.745, 0.770526, 0.246053, 0.9845, 0.819091, 0.0242485, 0.156661
18, 18, 0.987, 0.026096, 0.0537316, 0.0132416, 0.372739, 0.0234342, 0.72544, 0.298134, 0.7525, 0.775263, 0.239211, 0.987, 0.812602, 0.0250444, 0.162354
19, 17, 0.997, 0.0118743, 0.048388, 0.0103925, 0.359818, 0.0179474, 0.734363, 0.43498, 0.77, 0.774211, 0.232895, 0.997, 0.842289, 0.0204424, 0.137269
20, 15, 1, 0, 0.0464545, 0.0090923, 0.357556, 0.0185718, 0.640625, 0.429182, 0.76875, 0.769474, 0.233684, 1, 0.85303, 0.0199071, 0.127063
21, 23, 0.998, 0.00979796, 0.0467778, 0.0100181, 0.355135, 0.0208072, 0.666954, 0.281043, 0.765, 0.776316, 0.238158, 0.998, 0.851234, 0.0228303, 0.125935
22, 9, 0.9965, 0.0127574, 0.0509182, 0.0138193, 0.358978, 0.0210857, 0.759182, 0.283858, 0.76625, 0.777368, 0.238158, 0.9965, 0.828232, 0.0243152, 0.147453
23, 13, 0.9985, 0.00852936, 0.0477953, 0.0101777, 0.360469, 0.0235476, 0.803892, 0.289317, 0.76625, 0.777368, 0.241579, 0.9985, 0.845582, 0.0193899, 0.135028
24, 17, 1, 0, 0.0455571, 0.00939448, 0.359042, 0.0228053, 0.663358, 0.287438, 0.7675, 0.774211, 0.241053, 1, 0.858016, 0.0187434, 0.12324
25, 17, 0.9985, 0.00852936, 0.0460887, 0.0090197, 0.356085, 0.0204975, 0.710377, 0.348237, 0.765, 0.773158, 0.24, 0.9985, 0.855063, 0.021204, 0.123733
26, 9, 0.997, 0.0118743, 0.0457095, 0.0106713, 0.356121, 0.0215696, 0.706935, 0.342958, 0.76625, 0.772105, 0.238947, 0.997, 0.85717, 0.0195818, 0.123248
27, 19, 0.999, 0.007, 0.0472847, 0.0111722, 0.354994, 0.0226419, 0.729415, 0.331561, 0.76625, 0.771053, 0.238684, 0.999, 0.848418, 0.0209677, 0.130614
28, 16, 1, 0, 0.0465967, 0.00970674, 0.357026, 0.0213211, 0.677629, 0.386853, 0.76, 0.763684, 0.237632, 1, 0.85224, 0.020101, 0.127659
29, 22, 0.999, 0.007, 0.0475556, 0.00916292, 0.361123, 0.0173565, 0.621152, 0.434397, 0.76375, 0.764211, 0.236053, 0.999, 0.846913, 0.0224949, 0.130592
30, 11, 1, 0, 0.0470251, 0.00992302, 0.360206, 0.0189696, 0.690927, 0.403476, 0.75875, 0.767895, 0.238684, 1, 0.849861, 0.0183717, 0.131768
31, 20, 1, 0, 0.0473571, 0.00994941, 0.35638, 0.0231735, 0.738317, 0.368936, 0.75375, 0.769474, 0.243421, 1, 0.848016, 0.0211071, 0.130877
32, 14, 1, 0, 0.046296, 0.010391, 0.356121, 0.0235944, 0.686047, 0.318154, 0.755, 0.763684, 0.244474, 1, 0.853911, 0.0208869, 0.125202
33, 18, 1, 0, 0.0481309, 0.00974885, 0.366259, 0.0236525, 0.658444, 0.308937, 0.7575, 0.759474, 0.241053, 1, 0.843717, 0.0211515, 0.135131
34, 18, 0.9945, 0.0171683, 0.0521753, 0.0127607, 0.367838, 0.0251883, 0.740656, 0.329375, 0.76375, 0.773158, 0.243947, 0.9945, 0.821248, 0.0248747, 0.153877
35, 11, 1, 0, 0.0490316, 0.00975216, 0.360234, 0.0235984, 0.622528, 0.293727, 0.765, 0.771053, 0.243421, 1, 0.838713, 0.0202586, 0.141028
36, 17, 1, 0, 0.0490295, 0.0112922, 0.364, 0.0220999, 0.70089, 0.325887, 0.765, 0.765263, 0.241053, 1, 0.838725, 0.0172202, 0.144055
37, 13, 0.9955, 0.0143091, 0.0529302, 0.0128393, 0.36539, 0.0231849, 0.651571, 0.321254, 0.7625, 0.77, 0.241842, 0.9955, 0.817055, 0.0206182, 0.162327
