Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 1, 0, 0

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
1, 0000000000100010000000000010000100000001001100100000001001000000, 1, 0.0599131, 0.272525, 0.628017, 0.0811594, 0.875, 1, 0.236842, 0.85
2, 0000000001000010000000100110010000000110100000000010000000000010, 1, 0.0639859, 0.298384, 0.564167, 0.266667, 0.875, 1, 0.263158, 0.95
3, 0010000000110010001000000011000000000100001000000010011001000000, 1, 0.0648081, 0.314545, 0.551276, 0.382609, 0.875, 1, 0.315789, 0.8
4, 0000000001000000000000000100001000000010011001000000011010000000, 1, 0.0537798, 0.29798, 0.724172, 0.263768, 0.875, 1, 0.236842, 0.8
5, 0010000000110010000000000010001000000000001000010000000100110010, 1, 0.0472768, 0.293131, 0.826123, 0.228986, 0.875, 1, 0.289474, 0.95
6, 0010000000110010000000000010001000000000001000010000000100110010, 1, 0.0490869, 0.293131, 0.797745, 0.228986, 0.875, 1, 0.289474, 0.95
7, 0010000000000010001000000000001000010000000100110010000000000100, 1, 0.0748364, 0.298384, 0.394058, 0.266667, 0.875, 1, 0.236842, 0.9
8, 0000001001000000000000000100001000000010011001000000011010000000, 1, 0.0651879, 0.311717, 0.545322, 0.362319, 0.875, 1, 0.263158, 0.75
9, 0010000000110010001000000011001100000010001111100000001000000011, 1, 0.0639091, 0.349293, 0.56537, 0.631884, 0.75, 1, 0.421053, 0.7
10, 0000000000100010000000110010001000000011001100000010000000000000, 1, 0.0620505, 0.27697, 0.594508, 0.113043, 0.875, 1, 0.263158, 0.9
11, 0000000000010000000000000001000010000000100110010000000110100000, 1, 0.0389232, 0.331111, 0.957085, 0.501449, 0.875, 1, 0.236842, 0.95
12, 0000000000100000000000000010000100000001001100100000001101000010, 1, 0.0393657, 0.289495, 0.950149, 0.202899, 0.75, 1, 0.236842, 0.85
13, 0000000001000010000000100110010001000000011000000000010000000000, 1, 0.0522364, 0.30202, 0.748369, 0.292754, 0.75, 1, 0.210526, 0.9
14, 0000000001000010000000100110010000000110100000000010000000110010, 1, 0.0530586, 0.314545, 0.735479, 0.382609, 0.875, 1, 0.315789, 0.95
15, 0000000001000010000000100110010000000110100000000000000010000100, 1, 0.0567798, 0.308889, 0.677139, 0.342029, 0.75, 1, 0.236842, 0.95
16, 0000000001100000000000000100001000000010011001000000011010000000, 1, 0.0624505, 0.301616, 0.588237, 0.289855, 0.875, 1, 0.263158, 0.8
17, 0000000000010000000000000001000010000000100110010000000000100001, 1, 0.0885657, 0.324242, 0.178818, 0.452174, 0.875, 1, 0.210526, 0.9
18, 0000000000100000000000000010000100000001001100100000001101000000, 1, 0.0475838, 0.282222, 0.821309, 0.150725, 0.75, 1, 0.210526, 0.85
19, 0000000000100010000000110010001000000011001100000010001111100000, 1, 0.0377576, 0.317778, 0.975359, 0.405797, 0.75, 1, 0.368421, 0.8
