Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 1, 0, 0, 0, 0, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
0, 20, 0.603955, 0.19281, 0.150412, 0.0140689, 0.638937, 0.00787778, 0.603955, 0.546989, 0.4975, 0.516316, 0.486316, 0.5115, 0.275491, 0.224238, 0.500271
1, 15, 0.453621, 0.195664, 0.153709, 0.0142202, 0.639269, 0.00775856, 0.453621, 0.524066, 0.4775, 0.502632, 0.494737, 0.5055, 0.257172, 0.249137, 0.493691
2, 11, 0.536, 0.207318, 0.157791, 0.0148779, 0.638234, 0.00779634, 0.536, 0.436931, 0.465, 0.492105, 0.516842, 0.4985, 0.234493, 0.276212, 0.489295
3, 20, 0.579419, 0.193463, 0.159933, 0.0140923, 0.636873, 0.00890753, 0.579419, 0.46437, 0.45875, 0.48, 0.529737, 0.4845, 0.222594, 0.292919, 0.484487
4, 20, 0.529122, 0.200668, 0.161713, 0.0148924, 0.633539, 0.0104526, 0.529122, 0.460709, 0.44875, 0.463684, 0.544211, 0.471, 0.212703, 0.319238, 0.468059
5, 15, 0.51437, 0.220412, 0.163627, 0.0133147, 0.627265, 0.0118436, 0.51437, 0.50649, 0.46125, 0.451053, 0.561316, 0.465, 0.202073, 0.341481, 0.456446
6, 13, 0.49152, 0.213163, 0.163252, 0.0114126, 0.620929, 0.0137418, 0.49152, 0.465934, 0.45625, 0.443158, 0.570789, 0.453, 0.204156, 0.3622, 0.433644
7, 8, 0.504082, 0.198904, 0.165691, 0.0118631, 0.615059, 0.0143703, 0.504082, 0.437602, 0.4525, 0.429474, 0.590526, 0.434, 0.190606, 0.390477, 0.418917
8, 9, 0.418309, 0.190434, 0.166999, 0.0121274, 0.614663, 0.014802, 0.418309, 0.406915, 0.45375, 0.426842, 0.592105, 0.433, 0.183337, 0.402978, 0.413685
9, 14, 0.596732, 0.191322, 0.166926, 0.0121438, 0.612885, 0.0154743, 0.596732, 0.413037, 0.45875, 0.426842, 0.594737, 0.432, 0.183745, 0.418741, 0.397513
10, 15, 0.409556, 0.221293, 0.170063, 0.0123539, 0.606699, 0.0177339, 0.409556, 0.361097, 0.46, 0.416316, 0.608158, 0.42, 0.166315, 0.447133, 0.386552
11, 10, 0.43398, 0.202867, 0.171738, 0.0124974, 0.598691, 0.0198748, 0.43398, 0.501281, 0.46375, 0.407368, 0.613684, 0.415, 0.157012, 0.46463, 0.378358
12, 16, 0.565835, 0.187659, 0.172124, 0.0111913, 0.596396, 0.0205037, 0.565835, 0.488079, 0.45875, 0.403684, 0.615526, 0.42, 0.154865, 0.483131, 0.362004
13, 19, 0.497861, 0.196186, 0.172198, 0.0104898, 0.592444, 0.0215766, 0.497861, 0.465625, 0.45375, 0.400526, 0.621053, 0.416, 0.154455, 0.487067, 0.358479
14, 13, 0.469293, 0.212335, 0.176171, 0.0113027, 0.586578, 0.022659, 0.469293, 0.493036, 0.45125, 0.386316, 0.629737, 0.407, 0.132384, 0.523438, 0.344178
15, 20, 0.510706, 0.195624, 0.177124, 0.0108751, 0.579026, 0.023335, 0.510706, 0.44663, 0.455, 0.366842, 0.631579, 0.4025, 0.127089, 0.548453, 0.324459
16, 18, 0.678739, 0.14086, 0.175988, 0.014004, 0.581539, 0.0241128, 0.678739, 0.478357, 0.43875, 0.366316, 0.623158, 0.42, 0.133402, 0.542956, 0.323642
