Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 1, 0

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
1, 1111111111111111111111111111111111111111111111111111111111111111, 1, 0.199111, 0.0278788, 0.847334, 0, 0, 0, 1, 0
2, 1111111111111111111111111111111111111111111111111111111111110111, 1, 0.199374, 0.0444444, 0.837002, 0.18894, 0, 0.0526316, 1, 0.05
3, 1111111111111111111111111111111111111111111111111111111111111111, 1, 0.199818, 0.0278788, 0.819518, 0, 0, 0, 1, 0
4, 1111111111111111111111111111111111111111111111111110111111111111, 1, 0.199192, 0.0468687, 0.844155, 0.21659, 0, 0.0526316, 1, 0.05
5, 1110111111111111111101111111111111111111111111111111111111111111, 1, 0.199354, 0.0634343, 0.837797, 0.40553, 0, 0.105263, 1, 0.05
6, 1111111111111111111110111111111111111111111111110111111111111011, 1, 0.20278, 0.080404, 0.703012, 0.599078, 0.25, 0.0526316, 1, 0.05
7, 1111111111111111111111101111111111111111111111111111111011111111, 1, 0.199131, 0.0642424, 0.846539, 0.414747, 0.25, 0, 1, 0
8, 1111111111111111111111111111111111111111111111110111011111111111, 1, 0.198208, 0.0610101, 0.882858, 0.37788, 0, 0.105263, 1, 0.05
9, 1111111111111111111111111111101111111111111111111111111111111111, 1, 0.198505, 0.0428283, 0.871175, 0.170507, 0.125, 0, 1, 0
10, 1111101111111111111101111111111111111111111111111011111111111111, 1, 0.199414, 0.08, 0.835413, 0.59447, 0, 0.157895, 1, 0
11, 1111111111111111011111111111101111111111111111111111111111111011, 1, 0.216103, 0.0775758, 0.178892, 0.56682, 0.25, 0.0526316, 1, 0
12, 1111111111111110111111111111011111111111111111111111111111110111, 1, 0.199497, 0.0812121, 0.832154, 0.608295, 0, 0.157895, 1, 0.1
13, 1111111111111111111111111111011111111111111111111111111111110111, 1, 0.198689, 0.0618182, 0.863943, 0.387097, 0, 0.105263, 1, 0.05
14, 1111111111111111111111111111111111111111111111111111111111111111, 1, 0.198485, 0.0278788, 0.87197, 0, 0, 0, 1, 0
15, 1111111111111111111111101111111111111111111111111111111011111111, 1, 0.199212, 0.0642424, 0.84336, 0.414747, 0.25, 0, 1, 0
16, 1111101111111111111111111111101111111111111111111111111111111111, 1, 0.199152, 0.0593939, 0.845744, 0.359447, 0.125, 0.0526316, 1, 0
17, 1111111011111111111111111111111111111111111111110111111111111111, 1, 0.195364, 0.0618182, 0.994755, 0.387097, 0, 0.105263, 1, 0.05
18, 1111101111111111111111111111111111111111111111110111111111111111, 1, 0.196673, 0.060202, 0.943257, 0.368664, 0, 0.105263, 1, 0.05
19, 1110111111111111111111111111111111111111111111110111111111111111, 1, 0.197721, 0.0618182, 0.902011, 0.387097, 0, 0.105263, 1, 0.1
