Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 1, 0, 0, 0, 0

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
29, 1010111111111010011001000101011010001000001101100001110111011100, 0.528302, 0.116586, 0.647071, 1, 0.528302, 0.375, 0.526316, 0.552632, 0.4
30, 0000111011101111101000100000111010000101101011111111101001100100, 0.528302, 0.153071, 0.647071, 0.504988, 0.528302, 0.75, 0.421053, 0.552632, 0.4
31, 1101001010010100000000110011100110001111101011110001011001101101, 0.528302, 0.161451, 0.647071, 0.391295, 0.528302, 0.375, 0.631579, 0.552632, 0.4
32, 0111100000100110101010110101111111110100110101000000001100110000, 0.528302, 0.153834, 0.647071, 0.494628, 0.528302, 0.5, 0.631579, 0.526316, 0.65
33, 0101111000101100110000110000101101010101110101011010111101111010, 0.509434, 0.145535, 0.646667, 0.607225, 0.509434, 0.5, 0.368421, 0.5, 0.45
34, 0010001001110110110110000110101010101010000001001101010101101011, 0.509434, 0.168792, 0.646667, 0.29169, 0.509434, 0.625, 0.473684, 0.447368, 0.5
35, 1001101010000000011001100001100000101010110101111111110100110010, 0.509434, 0.154139, 0.646667, 0.490489, 0.509434, 0.625, 0.526316, 0.5, 0.55
36, 0000101101010101101111100010110011011111001111100110001010100111, 0.509434, 0.151804, 0.646667, 0.522174, 0.509434, 0.5, 0.526316, 0.605263, 0.5
37, 1011111000101001001010001110001000101101110100110110110010000010, 0.490566, 0.156638, 0.646263, 0.456584, 0.490566, 0.875, 0.526316, 0.552632, 0.5
38, 1000010011100000000011101111011011000011010101000011000100010000, 0.490566, 0.161206, 0.646263, 0.394611, 0.490566, 0.625, 0.789474, 0.5, 0.55
39, 0111110011111001100010101001110000100100010101010110111110100100, 0.471698, 0.157002, 0.645859, 0.45165, 0.471698, 0.5, 0.421053, 0.473684, 0.6
40, 1111110110010011110000001101100001000100111011011011000011010101, 0.471698, 0.158572, 0.645859, 0.430353, 0.471698, 0.75, 0.368421, 0.526316, 0.45
41, 0111101111010011001000101010001101010100000000000100101111001100, 0.471698, 0.178198, 0.645859, 0.164072, 0.471698, 0.625, 0.578947, 0.447368, 0.45
42, 1000010011100000000011101110111110100010000011101001110110010011, 0.471698, 0.164206, 0.645859, 0.353909, 0.471698, 0.25, 0.631579, 0.473684, 0.6
43, 1101010101101111100010110011011011000011010101000011110111110001, 0.471698, 0.150521, 0.645859, 0.539579, 0.471698, 0.375, 0.368421, 0.526316, 0.35
44, 1100010110111010101101011110111101001100100010101000110101010000, 0.45283, 0.14363, 0.645455, 0.633072, 0.45283, 0.25, 0.473684, 0.473684, 0.55
45, 0001010110100010000011011000011101110111000110111010011011011001, 0.45283, 0.153004, 0.645455, 0.505893, 0.45283, 0.25, 0.684211, 0.526316, 0.5
46, 1101100100111011000001001101100010011101100100111011001011010111, 0.45283, 0.156919, 0.645455, 0.452774, 0.45283, 0.625, 0.473684, 0.578947, 0.35
47, 1100100110100110101010010010100001011111000001011001110110110110, 0.45283, 0.162388, 0.645455, 0.378577, 0.45283, 0.5, 0.421053, 0.473684, 0.6
48, 0111110100010000011101000111000001111110011111101001000110101110, 0.45283, 0.130382, 0.645455, 0.812822, 0.45283, 0.625, 0.473684, 0.552632, 0.55
49, 1011100111011011000100110101010110101001101010100100101000010111, 0.45283, 0.154568, 0.645455, 0.484678, 0.45283, 0.375, 0.526316, 0.526316, 0.5
50, 1001011100010101111110100001000001101100001110111011100001011100, 0.433962, 0.154925, 0.645051, 0.479827, 0.433962, 0.875, 0.263158, 0.473684, 0.4
51, 1000010110011011011111000011001000100111011010100101101011111111, 0.433962, 0.137552, 0.645051, 0.715547, 0.433962, 0.625, 0.368421, 0.578947, 0.4
52, 0000101101011111111101001100100010101101100001001110000000001110, 0.433962, 0.147325, 0.645051, 0.58294, 0.433962, 0.75, 0.368421, 0.421053, 0.45
53, 1000110111101100111011011011011010111111111010011100101110001010, 0.433962, 0.127238, 0.645051, 0.855471, 0.433962, 0.5, 0.315789, 0.631579, 0.4
54, 0000001001011110011001110011111111100101000100101110011101101100, 0.433962, 0.156873, 0.645051, 0.453404, 0.433962, 0.125, 0.631579, 0.526316, 0.4
55, 1111111110100110010101010110101111011110100110010000100101001110, 0.433962, 0.14016, 0.645051, 0.680161, 0.433962, 0.375, 0.368421, 0.552632, 0.6
56, 0100001001010011100011011011000011010101010010001001110000000101, 0.415094, 0.185343, 0.644646, 0.0671253, 0.415094, 0.375, 0.631579, 0.368421, 0.5
57, 1110011000111110101111000101100110110110010010100001011111000011, 0.415094, 0.1616, 0.644646, 0.389267, 0.415094, 0.375, 0.473684, 0.552632, 0.55
58, 0011101100100111011000001001101100010011101001001110000001101100, 0.415094, 0.164412, 0.644646, 0.351113, 0.415094, 0.75, 0.473684, 0.447368, 0.4
59, 0110000110101010000110001000100001010100101100000100110101010110, 0.415094, 0.163453, 0.644646, 0.364132, 0.415094, 0.625, 0.578947, 0.368421, 0.8
60, 1010100101100000100110101010110111110100100100100111101111100010, 0.415094, 0.152339, 0.644646, 0.514911, 0.415094, 0.625, 0.473684, 0.552632, 0.65
61, 0010010111001110110110010101010100111110100010000011101000111000, 0.415094, 0.153572, 0.644646, 0.498191, 0.415094, 0.625, 0.421053, 0.447368, 0.65
62, 1011000100110101010010010100001011111000001011001110110110110110, 0.396226, 0.15903, 0.644242, 0.424131, 0.396226, 0.5, 0.473684, 0.5, 0.6
63, 0001000001110100001011010111111111010011001001110110010011101101, 0.396226, 0.150533, 0.644242, 0.539415, 0.396226, 0.125, 0.684211, 0.552632, 0.45
64, 1111000001011010101011011111000101100110110110000110101010001010, 0.396226, 0.149768, 0.644242, 0.549803, 0.396226, 0.625, 0.526316, 0.578947, 0.5
65, 1111100000101100111011011011011000011000101111100000101101010101, 0.396226, 0.145034, 0.644242, 0.614023, 0.396226, 0.25, 0.473684, 0.5, 0.4
66, 0101111100001000110110100100100111000010010010100001011111000011, 0.377358, 0.173042, 0.643838, 0.23402, 0.377358, 0.5, 0.368421, 0.342105, 0.6
67, 1001001010000101111100001111110110010011001110110010011101100000, 0.377358, 0.172808, 0.643838, 0.2372, 0.377358, 0.5, 0.578947, 0.552632, 0.5
68, 1011111000101001011101100101011111000010001101101001001001110000, 0.377358, 0.155248, 0.643838, 0.475441, 0.377358, 0.625, 0.473684, 0.526316, 0.3
69, 0000101111100000101010110101111111110100110010001110110010011101, 0.377358, 0.173725, 0.643838, 0.224756, 0.377358, 0.25, 0.526316, 0.526316, 0.55
70, 0110110001001101010101101010011010101001001010000101110000001001, 0.377358, 0.163228, 0.643838, 0.367175, 0.377358, 0.5, 0.368421, 0.315789, 0.5
71, 1011111000101100110111110011111001100010101001110001000001101100, 0.358491, 0.128279, 0.643434, 0.841355, 0.358491, 0.5, 0.315789, 0.473684, 0.45
72, 1111010011001010101011010111101111010011001111000001001101010101, 0.339623, 0.135012, 0.64303, 0.75, 0.339623, 0.25, 0.526316, 0.578947, 0.3
73, 0000010111110000010101011010111111111010011001000111011001001110, 0.339623, 0.131349, 0.64303, 0.799693, 0.339623, 0.25, 0.578947, 0.526316, 0.5
74, 0011101001001110000001101100000100010000011010100100011101001110, 0.339623, 0.135998, 0.64303, 0.736624, 0.339623, 0.375, 0.684211, 0.394737, 0.6
75, 1110010100010010111001110110110111111111010011001010101011010111, 0.320755, 0.139689, 0.642626, 0.686548, 0.320755, 0.25, 0.526316, 0.657895, 0.5
76, 0110111010011011011001000001010001001010101010100000100110101010, 0.320755, 0.141919, 0.642626, 0.656288, 0.320755, 0.625, 0.578947, 0.447368, 0.6
77, 0010111110000010110001110011000111110101111000101100110110111110, 0.301887, 0.120164, 0.642222, 0.951458, 0.301887, 0.25, 0.526316, 0.552632, 0.7
78, 0001000001101100001110111011100001011100001001110000000001110111, 0.301887, 0.17937, 0.642222, 0.148175, 0.301887, 0.625, 0.684211, 0.5, 0.45
79, 0001101010100001100010001000001101100011011110110011101101101101, 0.283019, 0.17302, 0.641818, 0.234322, 0.283019, 0.5, 0.578947, 0.5, 0.4
80, 1111110100101001010000110001000100000110101001000111111000101001, 0.283019, 0.166634, 0.641818, 0.320963, 0.283019, 0.5, 0.315789, 0.342105, 0.5
81, 1011000001001101010101101010011010101001001010000101111100000101, 0.283019, 0.154275, 0.641818, 0.488653, 0.283019, 0.25, 0.473684, 0.368421, 0.4
82, 1000001011001001010000101111100001111110110010011001110110010011, 0.264151, 0.172909, 0.641414, 0.235829, 0.264151, 0.625, 0.578947, 0.578947, 0.4
83, 0000000100101111001100111001111111110010100010010111001110110110, 0.264151, 0.171485, 0.641414, 0.255153, 0.264151, 0.375, 0.578947, 0.552632, 0.55
84, 0000110000101101010101110101011010111101111010011001010101011011, 0.264151, 0.137133, 0.641414, 0.72122, 0.264151, 0.25, 0.473684, 0.5, 0.45
85, 0110001001101010100100101000010111110000010110000001110111011111, 0.245283, 0.156208, 0.64101, 0.462422, 0.245283, 0.25, 0.631579, 0.473684, 0.55
86, 0111001110001001110111111100010101011011111010010010010011110111, 0.245283, 0.143501, 0.64101, 0.634826, 0.245283, 0.125, 0.526316, 0.578947, 0.5
87, 0001000100000110101001000111010011101100000100110101010110101000, 0.226415, 0.1692, 0.640606, 0.286153, 0.226415, 0.5, 0.631579, 0.394737, 0.65
88, 1111111010011001001001001010000101111100001111110110010011001110, 0.207547, 0.145616, 0.640202, 0.606129, 0.207547, 0.5, 0.526316, 0.605263, 0.4
89, 1011110111101001100100010101101100100110101010010010100001011111, 0.207547, 0.144131, 0.640202, 0.626275, 0.207547, 0.5, 0.368421, 0.5, 0.5
90, 0001011001101100111011001001110110000010011011000100111010010011, 0.207547, 0.162014, 0.640202, 0.383648, 0.207547, 0.375, 0.473684, 0.421053, 0.5
91, 0010010100001011111000001011001110110110110110000110110000101110, 0.188679, 0.165913, 0.639798, 0.330748, 0.188679, 0.625, 0.526316, 0.5, 0.65
92, 0110001000100001100001011100001001110000000001110111010101011011, 0.169811, 0.163947, 0.639394, 0.357417, 0.169811, 0.375, 0.684211, 0.421053, 0.5
93, 0011010101010101000000100101001101010100100101000010111110000010, 7.75, 7.75, 32, 9.16223e-72, 9.16444e-72, 9.16443e-72, 1.48441e-76, 1.48441e-76, 1.4844e-76
94, 1101010101010010010100001011111000011111101100100111101010101101, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
95, 0100011101000011101010101101010011010101001001010000101110000111, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
96, 0001101100001000100111011011011000011010101010101000000100111000, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
97, 1110001001010001100001011010101010100100101000010111110001111111, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
98, 1111100011111110110010011011110101001101010100100101000010111110, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
99, 0000101000100101010101010101001001010000101111100000101100111011, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
100, 1010000101111100011111110110010011011110111000110000101101010101, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
