Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 1, 0, 0, 0, 0

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
1, 1100000100110101010110111110100100100100111101111100010010100011, 1, 0.152881, 0.657172, 0.507565, 1, 0.5, 0.421053, 0.5, 0.7
2, 0000101101010101010010010100001011111000111111101100100110111101, 0.830189, 0.154026, 0.653535, 0.492024, 0.830189, 0.5, 0.473684, 0.526316, 0.5
3, 0101000111000100010110111010011011011001000001010001001010101010, 0.773585, 0.15596, 0.652323, 0.465793, 0.773585, 0.75, 0.526316, 0.447368, 0.45
4, 1110111000010111000010011100000000011101110111110100010000011101, 0.773585, 0.190291, 0.652323, 0, 0.773585, 0.5, 0.526316, 0.5, 0.55
5, 1010101101011111111101001100101100001010010011010010001110100001, 0.754717, 0.14683, 0.651919, 0.589656, 0.754717, 0.5, 0.473684, 0.526316, 0.4
6, 1100011000010110101010101001001010000101111100001111110110010011, 0.754717, 0.148154, 0.651919, 0.571703, 0.754717, 0.625, 0.473684, 0.526316, 0.5
7, 1101010101101010011010101001001010000101110000111011101111101000, 0.698113, 0.158127, 0.650707, 0.436383, 0.698113, 0.875, 0.368421, 0.552632, 0.3
8, 1100000011011000010001001110110110110000110101010101010000001001, 0.679245, 0.178257, 0.650303, 0.163277, 0.679245, 0.375, 0.578947, 0.394737, 0.6
9, 1010100100101000010111110000010110011101101101101100001100111001, 0.660377, 0.160752, 0.649899, 0.400778, 0.660377, 0.25, 0.473684, 0.447368, 0.55
10, 0100110101010010010100001011111000001011001110110110110110000110, 0.660377, 0.151315, 0.649899, 0.528807, 0.660377, 0.5, 0.526316, 0.473684, 0.7
11, 1100001011100001001110000000001110111010101011011111010010010010, 0.641509, 0.166661, 0.649495, 0.320606, 0.641509, 0.75, 0.578947, 0.552632, 0.5
12, 1101011111111101001100100011011101001101101100100000101000100101, 0.641509, 0.159709, 0.649495, 0.414922, 0.641509, 0.5, 0.473684, 0.552632, 0.3
13, 0011100000000011101110111110100010000011101111011001001110110101, 0.641509, 0.14957, 0.649495, 0.552489, 0.641509, 0.5, 0.526316, 0.526316, 0.5
14, 0001001010011100011011011000011010101010010001001110000000101000, 0.622642, 0.147499, 0.649091, 0.580583, 0.622642, 0.625, 0.578947, 0.368421, 0.5
15, 0101001011010111111111010010101000111000100010110111010011011011, 0.622642, 0.159634, 0.649091, 0.415936, 0.622642, 0.5, 0.368421, 0.526316, 0.45
16, 1010010010100001011111000011110000010011010101011010111111111010, 0.584906, 0.141608, 0.648283, 0.660509, 0.584906, 0.5, 0.473684, 0.552632, 0.5
17, 1111111010011001010101011010111101111010011001111000001001101010, 0.584906, 0.127558, 0.648283, 0.85114, 0.584906, 0.5, 0.368421, 0.578947, 0.3
18, 0111001100011111010111100010110011011011111000011001000100111011, 0.584906, 0.142347, 0.648283, 0.650477, 0.584906, 0.5, 0.315789, 0.5, 0.45
19, 1001111011111000100010111110000010110101010110111110001011001101, 0.584906, 0.165834, 0.648283, 0.331817, 0.584906, 0.625, 0.473684, 0.631579, 0.4
20, 0110110110000110101100010011010101001001010000101111100000101100, 0.584906, 0.160848, 0.648283, 0.399463, 0.584906, 0.5, 0.368421, 0.342105, 0.6
21, 0101110101011010111101111010011001000101011011001111101000100000, 0.584906, 0.134143, 0.648283, 0.761786, 0.584906, 0.625, 0.315789, 0.473684, 0.4
22, 1110000010110011101101101101100001101010111111111010011001000101, 0.584906, 0.13521, 0.648283, 0.747314, 0.584906, 0.5, 0.631579, 0.684211, 0.4
23, 0011110111110001000101111100000101101010101101111100010110011011, 0.566038, 0.143719, 0.647879, 0.631866, 0.566038, 0.25, 0.526316, 0.552632, 0.5
24, 0001100111110100010000011101000111000001111110011111101001000110, 0.54717, 0.156257, 0.647475, 0.461764, 0.54717, 0.625, 0.526316, 0.526316, 0.5
25, 1110110010011101101011101010110101111011110100110010001010110110, 0.54717, 0.142202, 0.647475, 0.65245, 0.54717, 0.5, 0.473684, 0.657895, 0.55
26, 0010111110000010110101010110111110001011001101110111110001010010, 0.54717, 0.129768, 0.647475, 0.821154, 0.54717, 0.375, 0.473684, 0.526316, 0.65
27, 0001110100100111000000110110000010001000001101010010001110100111, 0.528302, 0.174703, 0.647071, 0.21149, 0.528302, 0.5, 0.684211, 0.421053, 0.7
28, 1000011001000100111011011111010001000001110100011100000111111001, 0.528302, 0.152727, 0.647071, 0.509648, 0.528302, 0.375, 0.526316, 0.473684, 0.4
