Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 1, 0, 0, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
11, 12, 0.8925, 0.084816, 0.0879898, 0.0151873, 0.563725, 0.02685, 0.578687, 0.393283, 0.8925, 0.611579, 0.422105, 0.5995, 0.622279, 0.0942909, 0.28343
12, 14, 0.91125, 0.0691353, 0.0827324, 0.0148371, 0.5516, 0.0281197, 0.495447, 0.414085, 0.91125, 0.623684, 0.413158, 0.608, 0.651487, 0.0893253, 0.259188
13, 13, 0.925, 0.0612372, 0.0717469, 0.0138962, 0.545568, 0.0247192, 0.578793, 0.465978, 0.925, 0.626842, 0.408684, 0.62, 0.712517, 0.0682505, 0.219232
14, 15, 0.93375, 0.0623874, 0.0702338, 0.0146658, 0.542388, 0.0249802, 0.656053, 0.407857, 0.93375, 0.627895, 0.406316, 0.6195, 0.720923, 0.0647475, 0.214329
15, 22, 0.94375, 0.0621867, 0.068972, 0.0152194, 0.536962, 0.0274047, 0.619058, 0.405875, 0.94375, 0.627895, 0.401053, 0.6185, 0.727933, 0.0615899, 0.210477
16, 15, 0.94875, 0.0614792, 0.0685545, 0.0157277, 0.539337, 0.0266923, 0.692681, 0.376968, 0.94875, 0.625789, 0.399211, 0.6255, 0.730253, 0.0617677, 0.20798
17, 22, 0.95875, 0.0587766, 0.0647796, 0.0139467, 0.535964, 0.0283007, 0.582456, 0.392437, 0.95875, 0.621053, 0.399737, 0.626, 0.751224, 0.0554323, 0.193343
18, 10, 0.96375, 0.0567203, 0.0641084, 0.0138729, 0.530461, 0.031318, 0.651055, 0.421661, 0.96375, 0.621579, 0.402105, 0.622, 0.754954, 0.0586364, 0.18641
19, 15, 0.96625, 0.0554949, 0.0636531, 0.0145586, 0.531273, 0.0292369, 0.618361, 0.418148, 0.96625, 0.622105, 0.406842, 0.616, 0.757483, 0.0570081, 0.185509
20, 15, 0.9775, 0.0480234, 0.0571622, 0.0139809, 0.517455, 0.0325451, 0.650241, 0.390373, 0.9775, 0.625263, 0.401579, 0.6265, 0.793543, 0.0508909, 0.155566
21, 10, 0.9875, 0.0375, 0.0603571, 0.0115404, 0.510053, 0.0355204, 0.623374, 0.355081, 0.9875, 0.617895, 0.399211, 0.6235, 0.775794, 0.0557354, 0.168471
22, 15, 0.99125, 0.0318934, 0.0536825, 0.0144425, 0.506655, 0.0373841, 0.67051, 0.371684, 0.99125, 0.616316, 0.398684, 0.6195, 0.812875, 0.0508364, 0.136289
23, 22, 0.99125, 0.0318934, 0.0575429, 0.0123487, 0.507596, 0.0361536, 0.650398, 0.361475, 0.99125, 0.616842, 0.397632, 0.621, 0.791428, 0.0535434, 0.155028
24, 11, 0.995, 0.0244949, 0.0575469, 0.0138026, 0.504242, 0.0366422, 0.566893, 0.351563, 0.995, 0.617368, 0.398158, 0.6165, 0.791406, 0.0553273, 0.153267
25, 11, 0.99125, 0.0318934, 0.057476, 0.0128578, 0.505556, 0.0360669, 0.71171, 0.375995, 0.99125, 0.62, 0.397632, 0.6215, 0.7918, 0.0517354, 0.156465
26, 17, 0.9975, 0.0175, 0.0546753, 0.0119063, 0.503071, 0.035594, 0.565151, 0.372554, 0.9975, 0.625789, 0.405263, 0.6185, 0.80736, 0.0505374, 0.142103
27, 12, 0.99375, 0.0272431, 0.0573811, 0.011749, 0.506549, 0.0355473, 0.643464, 0.381796, 0.99375, 0.629474, 0.399737, 0.6295, 0.792327, 0.0528626, 0.15481
28, 13, 0.995, 0.0244949, 0.0575575, 0.0126734, 0.507147, 0.0381334, 0.561471, 0.386263, 0.995, 0.619474, 0.403684, 0.628, 0.791347, 0.0529414, 0.155711
29, 16, 0.98125, 0.0569402, 0.0582851, 0.0143902, 0.506057, 0.0398391, 0.741266, 0.370346, 0.98125, 0.630526, 0.397105, 0.6335, 0.787305, 0.056701, 0.155994
30, 15, 0.9975, 0.0175, 0.0523873, 0.0118015, 0.492562, 0.0412617, 0.603801, 0.349397, 0.9975, 0.621053, 0.392368, 0.6325, 0.820071, 0.0448808, 0.135048
31, 14, 0.995, 0.0244949, 0.0551658, 0.0111243, 0.498162, 0.0412285, 0.4538, 0.367986, 0.995, 0.623158, 0.392105, 0.6345, 0.804634, 0.052897, 0.142469
32, 14, 0.99125, 0.0318934, 0.0540742, 0.0129226, 0.50021, 0.037843, 0.613618, 0.378496, 0.99125, 0.623684, 0.39, 0.6365, 0.810699, 0.0451758, 0.144125
33, 16, 0.995, 0.0244949, 0.0550531, 0.0117399, 0.49537, 0.0382389, 0.678862, 0.340571, 0.995, 0.625263, 0.391053, 0.635, 0.805261, 0.0512444, 0.143495
34, 18, 1, 0, 0.0505011, 0.0114677, 0.494606, 0.0397859, 0.550261, 0.333294, 1, 0.627368, 0.393421, 0.6355, 0.830549, 0.0424646, 0.126986
35, 17, 0.995, 0.0244949, 0.053632, 0.0115414, 0.493123, 0.0407243, 0.59112, 0.343356, 0.995, 0.631579, 0.392632, 0.6335, 0.813156, 0.0502101, 0.136634
36, 11, 0.99125, 0.0318934, 0.0541051, 0.0114092, 0.490703, 0.0404245, 0.671421, 0.337613, 0.99125, 0.632105, 0.388158, 0.6325, 0.810527, 0.0487091, 0.140764
37, 8, 0.99875, 0.0124373, 0.0538065, 0.0110367, 0.484089, 0.0425097, 0.487755, 0.311832, 0.99875, 0.627368, 0.387895, 0.6345, 0.812186, 0.0481717, 0.139642
38, 14, 0.99625, 0.0213234, 0.0520785, 0.0124403, 0.487503, 0.0414859, 0.621042, 0.322593, 0.99625, 0.628947, 0.388947, 0.631, 0.821786, 0.0464485, 0.131766
39, 13, 0.9875, 0.0414578, 0.055644, 0.0140622, 0.496618, 0.0401502, 0.764923, 0.345012, 0.9875, 0.624211, 0.390789, 0.636, 0.801978, 0.0540929, 0.143929
40, 17, 0.9825, 0.0530919, 0.0551062, 0.0126304, 0.501273, 0.0410533, 0.704295, 0.356993, 0.9825, 0.635789, 0.392895, 0.6405, 0.804966, 0.0499697, 0.145065
41, 13, 1, 0, 0.0527182, 0.0119362, 0.486683, 0.0409664, 0.484416, 0.311924, 1, 0.631053, 0.393684, 0.6345, 0.818232, 0.0486828, 0.133085
42, 21, 0.99875, 0.0124373, 0.054404, 0.0112242, 0.486149, 0.0424718, 0.596977, 0.320517, 0.99875, 0.631053, 0.391316, 0.636, 0.808867, 0.049297, 0.141836
43, 19, 0.98375, 0.0520066, 0.0551971, 0.0139058, 0.497616, 0.0398203, 0.734638, 0.338293, 0.98375, 0.627895, 0.385, 0.6345, 0.804461, 0.0520465, 0.143493
44, 23, 0.99, 0.0382426, 0.0542564, 0.0118775, 0.491927, 0.0425304, 0.622131, 0.321988, 0.99, 0.622632, 0.386316, 0.635, 0.809687, 0.0458101, 0.144503
45, 16, 0.9975, 0.0175, 0.05094, 0.012321, 0.483095, 0.0425394, 0.537386, 0.320274, 0.9975, 0.623158, 0.384211, 0.638, 0.828111, 0.0424061, 0.129483
46, 19, 0.99375, 0.0272431, 0.0531891, 0.012426, 0.495947, 0.0382663, 0.608837, 0.346534, 0.99375, 0.622632, 0.386579, 0.634, 0.815616, 0.0457535, 0.13863
47, 18, 0.9925, 0.0296859, 0.0525276, 0.0133708, 0.498586, 0.0384008, 0.706828, 0.356627, 0.9925, 0.624211, 0.388421, 0.6285, 0.819291, 0.0455495, 0.13516
48, 17, 0.99625, 0.0213234, 0.0539342, 0.013136, 0.489212, 0.0414185, 0.700064, 0.322707, 0.99625, 0.625789, 0.389737, 0.6295, 0.811477, 0.0484667, 0.140057
49, 21, 0.9775, 0.0646626, 0.0594433, 0.0153792, 0.502614, 0.0425337, 0.659837, 0.333658, 0.9775, 0.626842, 0.391579, 0.627, 0.780871, 0.0516929, 0.167436
50, 10, 0.995, 0.0244949, 0.0508476, 0.0123993, 0.496937, 0.038184, 0.681553, 0.333149, 0.995, 0.622105, 0.390263, 0.633, 0.828624, 0.0471616, 0.124214
51, 20, 0.995, 0.0244949, 0.0504022, 0.0121704, 0.500723, 0.037437, 0.563725, 0.333643, 0.995, 0.620526, 0.390789, 0.6335, 0.831099, 0.0440747, 0.124826
52, 14, 0.99375, 0.0272431, 0.0501138, 0.0120059, 0.495224, 0.0379531, 0.675703, 0.304, 0.99375, 0.626316, 0.390789, 0.6255, 0.832701, 0.0415535, 0.125745
53, 16, 0.99625, 0.0213234, 0.0523175, 0.0131954, 0.496529, 0.0358704, 0.709138, 0.300024, 0.99625, 0.630526, 0.390526, 0.6285, 0.820459, 0.0443434, 0.135198
54, 10, 0.99375, 0.0272431, 0.0526273, 0.0131007, 0.501822, 0.0367904, 0.676854, 0.320179, 0.99375, 0.630526, 0.394211, 0.6265, 0.818737, 0.0480202, 0.133242
55, 18, 0.9975, 0.0175, 0.0492949, 0.0109894, 0.500921, 0.0363529, 0.514289, 0.345255, 0.9975, 0.625789, 0.388158, 0.634, 0.837251, 0.0425919, 0.120158
56, 4, 0.99625, 0.0213234, 0.0514287, 0.0121754, 0.500053, 0.0364218, 0.600848, 0.330107, 0.99625, 0.630526, 0.388421, 0.635, 0.825396, 0.0446727, 0.129931
57, 8, 0.99625, 0.0213234, 0.0551127, 0.0126273, 0.499471, 0.0364683, 0.61979, 0.330722, 0.99625, 0.630526, 0.389474, 0.6335, 0.804929, 0.0495859, 0.145485
58, 11, 0.98875, 0.050296, 0.0530993, 0.012835, 0.504857, 0.0355862, 0.621032, 0.342951, 0.98875, 0.627895, 0.386842, 0.6335, 0.816115, 0.0443818, 0.139503
59, 18, 0.99875, 0.0124373, 0.0497215, 0.0112064, 0.499434, 0.0358653, 0.567406, 0.331877, 0.99875, 0.625789, 0.388158, 0.6325, 0.834881, 0.0450101, 0.120109
60, 14, 0.98875, 0.0357727, 0.0533895, 0.014956, 0.5072, 0.0357919, 0.700907, 0.369178, 0.98875, 0.623158, 0.388421, 0.629, 0.814503, 0.0453879, 0.140109
61, 17, 0.99125, 0.0318934, 0.0532211, 0.0124934, 0.503244, 0.0351823, 0.556548, 0.340803, 0.99125, 0.634737, 0.396053, 0.633, 0.815438, 0.0469333, 0.137628
62, 16, 1, 0, 0.0485975, 0.0103914, 0.496246, 0.0367394, 0.590379, 0.354433, 1, 0.630526, 0.396842, 0.631, 0.841125, 0.0441253, 0.114749
63, 21, 0.98125, 0.0569402, 0.0576655, 0.0118262, 0.504347, 0.0406923, 0.591493, 0.389368, 0.98125, 0.623158, 0.389737, 0.6385, 0.790747, 0.0582869, 0.150966
64, 15, 0.99625, 0.0213234, 0.0514058, 0.0125935, 0.498788, 0.0386404, 0.587627, 0.370773, 0.99625, 0.626316, 0.391316, 0.6335, 0.825523, 0.0473434, 0.127133
65, 15, 0.99125, 0.0318934, 0.0539313, 0.0108059, 0.506671, 0.0335824, 0.553338, 0.368516, 0.99125, 0.635789, 0.396053, 0.6375, 0.811493, 0.0528081, 0.135699
66, 16, 0.99625, 0.0213234, 0.0512371, 0.0111579, 0.499608, 0.0377952, 0.681642, 0.363708, 0.99625, 0.626842, 0.392895, 0.6325, 0.826461, 0.0484242, 0.125115
67, 18, 0.9975, 0.0175, 0.0529429, 0.0114792, 0.500404, 0.0369951, 0.485608, 0.364899, 0.9975, 0.627368, 0.389211, 0.64, 0.816984, 0.0524364, 0.13058
68, 14, 1, 0, 0.0501815, 0.00996189, 0.495527, 0.037991, 0.561868, 0.33, 1, 0.628947, 0.390526, 0.638, 0.832325, 0.047897, 0.119778
69, 7, 1, 0, 0.0516865, 0.00979299, 0.486667, 0.0426707, 0.499196, 0.309574, 1, 0.622632, 0.390526, 0.6295, 0.823964, 0.0512929, 0.124743
70, 12, 0.9975, 0.0175, 0.0496484, 0.00959238, 0.489992, 0.0414206, 0.603682, 0.332398, 0.9975, 0.624211, 0.391316, 0.629, 0.835287, 0.0470727, 0.11764
71, 10, 0.9975, 0.0175, 0.0532698, 0.0106793, 0.496756, 0.0401881, 0.581018, 0.340256, 0.9975, 0.624211, 0.389474, 0.6325, 0.815168, 0.0508081, 0.134024
72, 18, 0.99, 0.0456892, 0.0522753, 0.0105087, 0.501212, 0.0410377, 0.548388, 0.353571, 0.99, 0.626316, 0.391842, 0.634, 0.820693, 0.0506121, 0.128695
73, 16, 1, 0, 0.0514891, 0.0101872, 0.494275, 0.0401789, 0.541557, 0.337569, 1, 0.628947, 0.393947, 0.6335, 0.825061, 0.0470545, 0.127885
74, 12, 0.98875, 0.0357727, 0.0503335, 0.011373, 0.500784, 0.0391055, 0.594102, 0.327012, 0.98875, 0.634211, 0.391316, 0.6365, 0.831481, 0.0440121, 0.124507
75, 13, 0.99375, 0.0272431, 0.0535033, 0.0116897, 0.497257, 0.0394917, 0.554975, 0.329102, 0.99375, 0.633158, 0.391842, 0.634, 0.813871, 0.0478283, 0.138301
76, 9, 0.9975, 0.0175, 0.0483633, 0.0110446, 0.499337, 0.0373346, 0.569884, 0.346093, 0.9975, 0.637895, 0.397105, 0.6345, 0.842426, 0.0416162, 0.115958
77, 20, 0.99625, 0.0276981, 0.0517669, 0.0112042, 0.497297, 0.0388843, 0.605315, 0.354302, 0.99625, 0.637895, 0.395789, 0.6335, 0.823517, 0.0450081, 0.131475
78, 18, 0.995, 0.0244949, 0.0483222, 0.0114012, 0.489976, 0.0435587, 0.722582, 0.326839, 0.995, 0.631053, 0.391316, 0.6335, 0.842655, 0.0411475, 0.116198
79, 15, 0.99125, 0.0318934, 0.0522593, 0.0114936, 0.491471, 0.0392981, 0.708579, 0.31543, 0.99125, 0.632632, 0.387105, 0.639, 0.820782, 0.0481919, 0.131026
80, 10, 1, 0, 0.0483029, 0.0105207, 0.48844, 0.0405432, 0.630841, 0.313341, 1, 0.632632, 0.390263, 0.633, 0.842762, 0.042398, 0.11484
81, 18, 0.995, 0.0244949, 0.0563524, 0.0116985, 0.492917, 0.0409537, 0.555364, 0.330721, 0.995, 0.627895, 0.388947, 0.6335, 0.798042, 0.0529535, 0.149004
82, 15, 0.9925, 0.0296859, 0.050484, 0.0117402, 0.491499, 0.0422047, 0.630575, 0.319177, 0.9925, 0.634211, 0.388684, 0.6385, 0.830644, 0.0396545, 0.129701
83, 13, 0.995, 0.0244949, 0.0537171, 0.0113581, 0.488687, 0.0422028, 0.547937, 0.315733, 0.995, 0.63, 0.387895, 0.6355, 0.812683, 0.0477333, 0.139584
84, 14, 0.995, 0.0244949, 0.0471818, 0.00967666, 0.491232, 0.0410629, 0.580617, 0.318552, 0.995, 0.624211, 0.386842, 0.6315, 0.84899, 0.0359172, 0.115093
85, 16, 0.9925, 0.0296859, 0.0540684, 0.0113709, 0.492251, 0.0418392, 0.62233, 0.309977, 0.9925, 0.627895, 0.385, 0.6345, 0.810731, 0.0471717, 0.142097
86, 20, 0.9925, 0.0296859, 0.0522793, 0.0107182, 0.486663, 0.0443324, 0.621213, 0.310119, 0.9925, 0.633684, 0.388947, 0.625, 0.820671, 0.0470768, 0.132253
87, 8, 0.995, 0.0244949, 0.049648, 0.0112247, 0.486416, 0.0427384, 0.564654, 0.301872, 0.995, 0.632632, 0.388158, 0.63, 0.835289, 0.0438626, 0.120848
88, 22, 0.97375, 0.0834697, 0.0586985, 0.0151785, 0.496735, 0.0442837, 0.699148, 0.335696, 0.97375, 0.627895, 0.387632, 0.6315, 0.785008, 0.0495636, 0.165428
89, 10, 1, 0, 0.0526629, 0.0112481, 0.482222, 0.0403855, 0.448851, 0.303061, 1, 0.633684, 0.391579, 0.6235, 0.818539, 0.0476929, 0.133768
90, 23, 1, 0, 0.0491047, 0.0100171, 0.480533, 0.0401889, 0.575346, 0.306028, 1, 0.634211, 0.392368, 0.6215, 0.838307, 0.0449313, 0.116762
91, 25, 0.9925, 0.0296859, 0.0528927, 0.0127135, 0.486097, 0.0390685, 0.787969, 0.352027, 0.9925, 0.640526, 0.387632, 0.634, 0.817263, 0.0453475, 0.13739
92, 21, 1, 0, 0.0506644, 0.0100068, 0.484505, 0.0397999, 0.607692, 0.33396, 1, 0.630526, 0.388684, 0.6275, 0.829642, 0.0453414, 0.125016
93, 12, 0.9925, 0.0296859, 0.0537913, 0.0104792, 0.492352, 0.0381347, 0.609637, 0.315351, 0.9925, 0.636842, 0.389211, 0.6255, 0.812271, 0.0493535, 0.138376
94, 13, 0.985, 0.0508675, 0.0563098, 0.0131171, 0.498921, 0.0380764, 0.677095, 0.341206, 0.985, 0.634211, 0.39, 0.6265, 0.798279, 0.0540121, 0.147709
95, 12, 0.99625, 0.0213234, 0.0518051, 0.0117605, 0.48884, 0.0388247, 0.707314, 0.305597, 0.99625, 0.633158, 0.39, 0.6235, 0.823305, 0.0444141, 0.132281
96, 14, 1, 0, 0.0509735, 0.0094681, 0.485729, 0.0389746, 0.513336, 0.311303, 1, 0.638421, 0.393158, 0.624, 0.827925, 0.0452101, 0.126865
97, 19, 0.9975, 0.0175, 0.0508342, 0.0105592, 0.488073, 0.0416889, 0.521332, 0.302987, 0.9975, 0.638947, 0.393158, 0.6285, 0.828699, 0.0448404, 0.126461
98, 18, 0.98875, 0.0357727, 0.0558007, 0.0120847, 0.496069, 0.0407696, 0.722106, 0.335512, 0.98875, 0.638421, 0.396316, 0.6315, 0.801107, 0.0516444, 0.147248
99, 14, 0.9925, 0.0296859, 0.0536029, 0.0123316, 0.494048, 0.0392027, 0.657236, 0.31041, 0.9925, 0.639474, 0.39, 0.634, 0.813317, 0.0500343, 0.136648
