Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 1, 0, 0, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
0, 9, 0.4675, 0.17466, 0.153433, 0.0147719, 0.640097, 0.00800737, 0.600088, 0.52, 0.4675, 0.492105, 0.482632, 0.5035, 0.258705, 0.241323, 0.499972
1, 10, 0.5, 0.16298, 0.154519, 0.0156928, 0.64004, 0.00823559, 0.545858, 0.534286, 0.5, 0.491579, 0.482105, 0.5015, 0.252673, 0.247814, 0.499513
2, 12, 0.55125, 0.158208, 0.152134, 0.0152103, 0.638844, 0.00903137, 0.570311, 0.506095, 0.55125, 0.488421, 0.481579, 0.505, 0.265921, 0.235301, 0.498778
3, 15, 0.61125, 0.160949, 0.148256, 0.0168295, 0.635895, 0.0109339, 0.597159, 0.50964, 0.61125, 0.502632, 0.481842, 0.5105, 0.287467, 0.222758, 0.489776
4, 12, 0.675, 0.147902, 0.142004, 0.0153945, 0.629131, 0.0127625, 0.618347, 0.556209, 0.675, 0.515263, 0.475526, 0.521, 0.322198, 0.203933, 0.473869
5, 17, 0.69, 0.154596, 0.138888, 0.0149055, 0.626691, 0.0144019, 0.575566, 0.584699, 0.69, 0.515789, 0.473158, 0.5235, 0.339509, 0.197465, 0.463026
6, 15, 0.75125, 0.140862, 0.129446, 0.0146673, 0.613422, 0.0183543, 0.588489, 0.484155, 0.75125, 0.545789, 0.466842, 0.5455, 0.391968, 0.172588, 0.435444
7, 10, 0.8075, 0.113771, 0.117464, 0.0139702, 0.600271, 0.0203781, 0.59965, 0.503032, 0.8075, 0.567368, 0.45, 0.5605, 0.458531, 0.146806, 0.394663
8, 21, 0.82375, 0.110531, 0.112692, 0.0157687, 0.594315, 0.021797, 0.549622, 0.472625, 0.82375, 0.571053, 0.444211, 0.5675, 0.485046, 0.132261, 0.382693
9, 13, 0.8625, 0.0927025, 0.0981095, 0.0154581, 0.578663, 0.023601, 0.543173, 0.472325, 0.8625, 0.595789, 0.432105, 0.587, 0.566059, 0.111453, 0.322489
10, 10, 0.885, 0.0878208, 0.0916313, 0.0147546, 0.568756, 0.0259959, 0.589227, 0.407787, 0.885, 0.608421, 0.430263, 0.5945, 0.602048, 0.0970384, 0.300913
