Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 1, 0, 0, 0, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
0, 15, 0.511345, 0.17429, 0.154315, 0.0156241, 0.640545, 0.00837999, 0.518866, 0.511345, 0.5025, 0.510526, 0.506842, 0.503, 0.253808, 0.251289, 0.494903
1, 15, 0.493836, 0.20149, 0.154409, 0.016744, 0.643051, 0.00594293, 0.5305, 0.493836, 0.49625, 0.502632, 0.496579, 0.495, 0.253283, 0.245301, 0.501416
2, 14, 0.534561, 0.205637, 0.155147, 0.0162832, 0.643624, 0.00473588, 0.505694, 0.534561, 0.495, 0.503158, 0.499474, 0.4985, 0.249186, 0.24918, 0.501634
3, 20, 0.560455, 0.220143, 0.154189, 0.0173018, 0.644307, 0.00391366, 0.588819, 0.560455, 0.50625, 0.497895, 0.503684, 0.496, 0.254503, 0.246863, 0.498634
4, 16, 0.438571, 0.184142, 0.154091, 0.0155678, 0.644323, 0.00520805, 0.511823, 0.438571, 0.5025, 0.502105, 0.504211, 0.4985, 0.255048, 0.242224, 0.502727
5, 19, 0.476136, 0.21236, 0.152099, 0.0141001, 0.64503, 0.00377529, 0.620034, 0.476136, 0.5075, 0.506842, 0.502368, 0.503, 0.266115, 0.245174, 0.488711
6, 18, 0.525116, 0.209539, 0.153308, 0.0170074, 0.645083, 0.00364048, 0.544693, 0.525116, 0.51875, 0.498947, 0.498684, 0.5095, 0.2594, 0.240103, 0.500497
7, 16, 0.577273, 0.202132, 0.154551, 0.0151697, 0.645414, 0.00359346, 0.505002, 0.577273, 0.5025, 0.496842, 0.498158, 0.504, 0.252497, 0.242162, 0.505341
8, 12, 0.517292, 0.211169, 0.155479, 0.0149927, 0.645386, 0.00409541, 0.572725, 0.517292, 0.49375, 0.5, 0.501579, 0.498, 0.247337, 0.245846, 0.506816
9, 15, 0.482683, 0.20688, 0.154781, 0.0150523, 0.64537, 0.00342711, 0.543349, 0.482683, 0.5075, 0.501579, 0.501579, 0.504, 0.251218, 0.240095, 0.508687
