Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 0, 1

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
1, 0010010010010010010010000000010000010000010010010010010010010000, 1, 0.0449293, 0.370101, 0.798783, 0.338667, 0.75, 0.842105, 0.289474, 1
2, 0100000100100100000100000000100100100100000100100100100100100100, 1, 0.0741495, 0.444848, 0.227445, 0.832, 0.625, 0.631579, 0.157895, 1
3, 0000010100110000100000000100010010010010000000010000100010000010, 1, 0.0564485, 0.36202, 0.57355, 0.285333, 0.875, 0.789474, 0.236842, 1
4, 0000100100000010000100000010010010010010100110000100000000100010, 1, 0.0468768, 0.389495, 0.760705, 0.466667, 0.875, 0.789474, 0.263158, 1
5, 0010000010010010010010010000010010010010010010010010000000010000, 1, 0.0494, 0.375354, 0.711368, 0.373333, 0.75, 0.894737, 0.315789, 1
6, 0100100000000100110000100000000100010010010010010010010010010010, 1, 0.0452121, 0.331313, 0.793253, 0.0826667, 0.75, 0.736842, 0.263158, 1
7, 0010000010000000010010010010000010010010010010010010010010010010, 1, 0.0532707, 0.345859, 0.635685, 0.178667, 0.75, 0.894737, 0.342105, 1
8, 0100100000100100100100010010010010000110000100000000100010000010, 1, 0.0366162, 0.363232, 0.961329, 0.293333, 0.75, 0.684211, 0.210526, 1
9, 0100100000010000100000010010010010010100110000100000000010000010, 1, 0.0417515, 0.36404, 0.860918, 0.298667, 0.75, 0.842105, 0.263158, 1
10, 0100100100000000100100100100100100100100100010010010010010000110, 1, 0.0512889, 0.38303, 0.674435, 0.424, 0.625, 0.684211, 0.263158, 1
11, 0000100100100100000010000100000010010010010010100010010010010010, 1, 0.0498444, 0.329697, 0.702678, 0.072, 0.875, 0.789474, 0.315789, 1
12, 0000110000100000000100010000010010010000010000000010010010010000, 1, 0.0531455, 0.335758, 0.638134, 0.112, 0.625, 0.842105, 0.184211, 1
13, 0100100100000100100100100100100100100100000000100010010010010000, 1, 0.0574141, 0.375758, 0.554669, 0.376, 0.75, 0.631579, 0.210526, 1
14, 0100100100000100100100100100100100000000100110000000110000000100, 1, 0.0781717, 0.403232, 0.148799, 0.557333, 0.625, 0.578947, 0.131579, 1
15, 0010010010010000110000100000000100010000010000000010010010010010, 1, 0.0457535, 0.37899, 0.782667, 0.397333, 0.75, 0.842105, 0.263158, 1
16, 0010000010010010010010000000100010000010010010010010010010010010, 1, 0.0588626, 0.361616, 0.526347, 0.282667, 0.875, 0.842105, 0.342105, 1
17, 0000000100100000010000100000010010010010010100110000100000000100, 1, 0.0451657, 0.387475, 0.794162, 0.453333, 0.75, 0.842105, 0.236842, 1
18, 0000100000000100010010010010000000010010010010010000000010000010, 1, 0.0487354, 0.330505, 0.724364, 0.0773333, 0.875, 0.789474, 0.210526, 1
