Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 0, 1

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
19, 0100100100100100000000100100100100100100100100100100000100100100, 1, 0.058101, 0.452929, 0.541239, 0.885333, 0.625, 0.684211, 0.236842, 1
20, 0000100000000100010000010010010010010010010000010010010010010000, 1, 0.0479152, 0.327273, 0.740401, 0.056, 0.625, 0.842105, 0.236842, 1
21, 0000000100000010010010010010000110000100000000100010000010010010, 1, 0.0491818, 0.364848, 0.715634, 0.304, 0.75, 0.842105, 0.236842, 1
22, 0100000010000100000010010010010010100110000100000000100010010010, 1, 0.0415515, 0.367273, 0.864829, 0.32, 0.75, 0.789474, 0.263158, 1
23, 0100100100000010010010010010010000000010010010010010010010010010, 1, 0.0533899, 0.326869, 0.633354, 0.0533333, 0.625, 0.736842, 0.263158, 1
24, 0100100000010000100000010010010010010100110000100000000010010010, 1, 0.0424465, 0.36, 0.84733, 0.272, 0.75, 0.842105, 0.289474, 1
25, 0010000100010010010010010000000010010000010010010010010000000010, 1, 0.0490162, 0.361212, 0.718873, 0.28, 0.75, 0.842105, 0.263158, 1
26, 0000000100100100100000100100100100100100100100000000100000010010, 1, 0.0574808, 0.398788, 0.553365, 0.528, 0.875, 0.736842, 0.236842, 1
27, 0100100000100000000100010010010010010010010010010010010010010010, 1, 0.0396, 0.318788, 0.902986, 0, 0.625, 0.842105, 0.315789, 1
28, 0100100100000000100010010010010000110000010010010010010010010010, 1, 0.0368485, 0.324848, 0.956786, 0.04, 0.625, 0.736842, 0.263158, 1
29, 0100100100000000100010010010010000110000010010010010010010000000, 1, 0.0380101, 0.332525, 0.934073, 0.0906667, 0.625, 0.736842, 0.210526, 1
30, 0100100100100100100100100100100000100100100100100100100100100000, 1, 0.0853273, 0.452121, 0.00888766, 0.88, 0.875, 0.526316, 0.236842, 1
31, 0100100100100100000100100100100100100100100100100100100100100100, 1, 0.068598, 0.468283, 0.335993, 0.986667, 0.625, 0.578947, 0.236842, 1
32, 0100100100100000000100110000100000000100010010010010010010010010, 1, 0.0535414, 0.333737, 0.630392, 0.0986667, 0.75, 0.736842, 0.263158, 1
33, 0010010010010010010010010010000000010000010000010010010010010010, 1, 0.0464505, 0.373737, 0.769039, 0.362667, 0.75, 0.842105, 0.315789, 1
34, 0100100100000100000000100100100100000100100100100100100100100100, 1, 0.0785091, 0.455354, 0.142203, 0.901333, 0.625, 0.631579, 0.184211, 1
35, 0000010010010010010010000000010000010000010010010010010010010000, 1, 0.0526869, 0.357172, 0.647101, 0.253333, 0.75, 0.842105, 0.263158, 1
36, 0100100100000100000000100100100100000100100100100100100100100000, 1, 0.067804, 0.441616, 0.351517, 0.810667, 0.75, 0.631579, 0.184211, 1
37, 0100000000100010000010010010010010000000010000010000010010010010, 1, 0.0374162, 0.326869, 0.945687, 0.0533333, 0.625, 0.894737, 0.236842, 1
38, 0000100000000100100100100000100100100100100100100100100100000000, 1, 0.0857818, 0.44, 0, 0.8, 0.75, 0.631579, 0.157895, 1
39, 0100100100100100100100000100100100100100100100100100000000100010, 1, 0.0407596, 0.422626, 0.880313, 0.685333, 0.875, 0.578947, 0.236842, 1
40, 0010010010010000010010010010010010010010010010010010010000000010, 1, 0.0467333, 0.377778, 0.763509, 0.389333, 0.625, 0.842105, 0.315789, 1
41, 0000010010010000010000000010010010010000010010010010010010010010, 1, 0.0527394, 0.348283, 0.646074, 0.194667, 0.75, 0.894737, 0.315789, 1
42, 0100000100100100100100000010000100010010010010000010010010010010, 1, 0.0567313, 0.328485, 0.56802, 0.064, 0.75, 0.736842, 0.263158, 1
43, 0000000100010000010010010010010000000010010010010010010010010000, 1, 0.0557434, 0.331717, 0.587336, 0.0853333, 0.625, 0.842105, 0.236842, 1
44, 0000010000100010010010010010010010010010000000010000010000010010, 1, 0.0430424, 0.357172, 0.835677, 0.253333, 0.625, 0.842105, 0.236842, 1
45, 0100100100100100100100000100100100100100000010000100010010010010, 1, 0.0603818, 0.366465, 0.496642, 0.314667, 0.75, 0.578947, 0.210526, 1
46, 0100100100100100000001000100000100100100100100100100100100100100, 1, 0.0706788, 0.466263, 0.295307, 0.973333, 0.5, 0.684211, 0.210526, 1
47, 0000010000100010010010010000010010010010010010010010010000000010, 1, 0.0437091, 0.353131, 0.822642, 0.226667, 0.625, 0.842105, 0.263158, 1
48, 0100100000100100100000100000000100010010010010010010010010010010, 1, 0.0511556, 0.325657, 0.677042, 0.0453333, 0.75, 0.789474, 0.289474, 1
49, 0100100100010000010010010000010000000010010010010000010010010010, 1, 0.0454747, 0.322828, 0.788118, 0.0266667, 0.625, 0.736842, 0.210526, 1
50, 0010010010100110000100000000100010010010010000010010010010010000, 1, 0.0515253, 0.369697, 0.669814, 0.336, 0.875, 0.789474, 0.315789, 1
51, 0100000100010000010010010010010000000100010000010010010010010010, 1, 0.0553131, 0.334141, 0.59575, 0.101333, 0.625, 0.789474, 0.236842, 1
52, 0000010010010010010010000000010010010010010010010010010010000010, 1, 0.0632444, 0.359596, 0.44067, 0.269333, 0.75, 0.842105, 0.315789, 1
53, 0100100100100100100000010010000100000010010010010010000110000100, 1, 0.0577131, 0.361616, 0.548823, 0.282667, 0.5, 0.736842, 0.210526, 1
54, 0100100100100100100100010010010010000110000100000000100010000010, 1, 0.0540141, 0.363232, 0.621149, 0.293333, 0.75, 0.631579, 0.210526, 1
55, 0100000000100000010010010010010000110000100000000100010000010000, 1, 0.062596, 0.364444, 0.45335, 0.301333, 0.625, 0.789474, 0.157895, 1
56, 0000100100100100100000000100010010010010010000110000100000000100, 1, 0.0432889, 0.376566, 0.830858, 0.381333, 0.75, 0.736842, 0.210526, 1
57, 0010010010010010000110000100000000100010000010010010010010010010, 1, 0.0435434, 0.377374, 0.825881, 0.386667, 0.875, 0.842105, 0.342105, 1
58, 0100100100100100000010010010010010000110000100000000100010000010, 1, 0.0516909, 0.354747, 0.666574, 0.237333, 0.75, 0.684211, 0.210526, 1
59, 0000110000100000000100010000010010010010010010000010010010000000, 1, 0.0794707, 0.338586, 0.1234, 0.130667, 0.625, 0.842105, 0.210526, 1
60, 0100000000100010010010010010010010010010010010010010010010010010, 1, 0.0395798, 0.332121, 0.903381, 0.088, 0.625, 0.842105, 0.342105, 1
61, 0010010010010000000010000010010010010000000010010010010010010010, 1, 0.0571879, 0.358384, 0.559093, 0.261333, 0.75, 0.894737, 0.315789, 1
62, 0100100000100100100100100000010000100010010010010010000000010010, 1, 0.0427273, 0.340606, 0.841839, 0.144, 0.875, 0.736842, 0.263158, 1
63, 0100000010000100000010010010010010100110000100000000100010000000, 1, 0.0499354, 0.374949, 0.700901, 0.370667, 0.75, 0.789474, 0.210526, 1
64, 0000100000000100010010010010010010010010010010010010010010010010, 1, 0.0417394, 0.324848, 0.861155, 0.04, 0.625, 0.789474, 0.289474, 1
65, 0100100100100100100100100100100100100100100100100100010010010010, 1, 0.0430364, 0.402424, 0.835796, 0.552, 0.75, 0.578947, 0.289474, 1
66, 0100100100100100100000000100000100000100100100100100100100000010, 1, 0.0653677, 0.412929, 0.399155, 0.621333, 0.75, 0.631579, 0.184211, 1
67, 0100000100100100100100100100100100000000100010010010010000110000, 1, 0.0357717, 0.37899, 0.97784, 0.397333, 0.75, 0.684211, 0.236842, 1
68, 0000000100110000000110000000100010000000111010010010010010010000, 1, 0.0499293, 0.359596, 0.701019, 0.269333, 0.875, 0.789474, 0.289474, 1
69, 0010010010000110000100000000100010000010010010010010000000010000, 1, 0.0567253, 0.377374, 0.568139, 0.386667, 1, 0.789474, 0.263158, 1
70, 0100000000100000010010010010010000110000100000000100010000010010, 1, 0.0452869, 0.360808, 0.791792, 0.277333, 0.625, 0.789474, 0.184211, 1
71, 0100100100000000100110000100000000100010010010010010010010010010, 1, 0.0376465, 0.326061, 0.941183, 0.048, 0.875, 0.684211, 0.263158, 1
72, 0100000100100100100100100100100100100100100100100000100100100100, 1, 0.063596, 0.461818, 0.433797, 0.944, 0.625, 0.631579, 0.236842, 1
73, 0100000100100100000100000000100010010010010010010010010010010010, 1, 0.0476343, 0.318788, 0.745892, 0, 0.875, 0.736842, 0.289474, 1
74, 0010000010010010000010000000010010010010000010010010010010010010, 1, 0.0502384, 0.352323, 0.694976, 0.221333, 0.75, 0.947368, 0.342105, 1
75, 0100100100100100100100100000100100100100100000010000100010010010, 1, 0.0363172, 0.376566, 0.967175, 0.381333, 0.875, 0.578947, 0.236842, 1
76, 0100010010010010000110000100000000100010000010010010010010000000, 1, 0.0487737, 0.369697, 0.723614, 0.336, 0.875, 0.789474, 0.263158, 1
77, 0000100000010010010010010100110000100000000100010010010010010010, 1, 0.0346384, 0.365253, 1, 0.306667, 0.625, 0.789474, 0.263158, 1
78, 0000100100100100000100100100100100000000100000010010000010010010, 1, 0.0484283, 0.354747, 0.730368, 0.237333, 0.875, 0.736842, 0.236842, 1
79, 0000010010010010010000000010000000100000100100100100100100000100, 1, 0.0519152, 0.460606, 0.66219, 0.936, 0.75, 0.789474, 0.210526, 1
80, 0100100100100100000010000100000010010010010010100010010010010000, 1, 0.0561717, 0.330909, 0.578962, 0.08, 0.875, 0.736842, 0.289474, 1
81, 0010010010010000000010000100010000010010010010010010010010010000, 1, 0.0523434, 0.360404, 0.653816, 0.274667, 0.75, 0.894737, 0.315789, 1
82, 0000100100100100100100000110000100000000100010000010010010000010, 1, 0.0713879, 0.349495, 0.281443, 0.202667, 0.75, 0.736842, 0.210526, 1
83, 0100100100100100100000100100100100100100100010010010000110000100, 1, 0.0749778, 0.401212, 0.21125, 0.544, 0.625, 0.684211, 0.263158, 1
84, 0100010010010010000000010000100010000010010010010000000010010010, 1, 0.0502808, 0.35798, 0.694146, 0.258667, 0.875, 0.842105, 0.289474, 1
85, 0000100100100000100100100100100100100000000100110000000110000000, 7.75, 7.75, 32, 9.16223e-72, 1.39838e-76, 1.39804e-76, 9.16223e-72, 1.39838e-76, 1.39804e-76
86, 0100100000010000100000010010010010010100110000100000000100010010, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
87, 0010010010010000010010010010010010010010000000010000010010000000, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
88, 0010100110000100000000100010010010010000000010000100010000010000, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
89, 0100100100000100100100100100100100010010010000010010010010010010, 7.75, 7.75, 32, 0.00435556, 0.0286869, 1, 0, 0.875, 0.684211
90, 0000100100100100100100100100000000100000000100100100100000010000, 7.75, 7.75, 32, 0.0114808, 0.0311111, 0, 0.75, 0.75, 0.473684
91, 0100100100100100000100100100100100100100100000000100000000110000, 7.75, 7.75, 32, 0.0067899, 0.0290909, 0.65835, 0.125, 0.75, 0.578947
92, 0100000100100100000100100100100100100100100100000000100010010010, 7.75, 7.75, 32, 0.00765051, 0.0311111, 0.537567, 0.75, 0.75, 0.526316
93, 0100010010010010010010010010010010010010010000010010010010010010, 7.75, 7.75, 32, 0.0283636, 0.00585859, 0, 0.5, 0, 0.0526316
94, 0100100100100000100100100100100100100100100100100100100000100100, 7.75, 7.75, 32, 0.0282626, 0.00323232, 1, 0, 0, 0
95, 0000100000100000000100100100100000100100100100100100100100100100, 7.75, 7.75, 32, 0.0282626, 0.00323232, 1, 0, 0, 0
96, 0010010010010010010010010010010010000000010010010010010010010010, 7.75, 7.75, 32, 0.0282626, 0.00323232, 1, 0, 0, 0
97, 0010010010010000010010010010010010010010010010010010010010000010, 7.75, 7.75, 32, 0.0282828, 0.00323232, 0.8, 0, 0, 0
98, 0000100100100100010010010010000110000100000000100010000010010010, 7.75, 7.75, 32, 0.0282828, 0.00848485, 0.8, 1, 0, 0.0526316
99, 0100000100100100100010010010010000110000100000000100010000010000, 7.75, 7.75, 32, 0.028303, 0.00585859, 0.6, 0.5, 0, 0
100, 0100000100100100000100100100100100100100000000100110000000110000, 7.75, 7.75, 32, 0.0282828, 0.00585859, 0.8, 0.5, 0, 0
