Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 1, 0, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
0, 18, 0.503158, 0.117055, 0.155501, 0.015892, 0.640986, 0.00801454, 0.521725, 0.533793, 0.4725, 0.503158, 0.495, 0.505, 0.247216, 0.245998, 0.506786
1, 14, 0.553158, 0.107733, 0.151644, 0.0161957, 0.638307, 0.00961169, 0.549203, 0.48798, 0.48125, 0.553158, 0.492632, 0.524, 0.268644, 0.231208, 0.500147
2, 9, 0.586316, 0.111653, 0.148365, 0.01582, 0.634416, 0.011714, 0.516544, 0.486212, 0.49625, 0.586316, 0.484474, 0.5395, 0.286859, 0.205222, 0.507919
3, 9, 0.604211, 0.108498, 0.145852, 0.018256, 0.631539, 0.0130725, 0.531164, 0.480909, 0.51375, 0.604211, 0.477368, 0.55, 0.300822, 0.190147, 0.50903
4, 15, 0.619474, 0.109102, 0.143899, 0.0164987, 0.628517, 0.0144151, 0.441639, 0.509405, 0.52125, 0.619474, 0.474211, 0.5625, 0.311675, 0.186206, 0.502119
5, 18, 0.668947, 0.103216, 0.139935, 0.0176464, 0.616566, 0.0194444, 0.409874, 0.513761, 0.53125, 0.668947, 0.459737, 0.5905, 0.333693, 0.169552, 0.496756
6, 13, 0.705263, 0.0998614, 0.136761, 0.0178688, 0.604509, 0.021892, 0.481047, 0.449844, 0.54375, 0.705263, 0.451579, 0.601, 0.351325, 0.158182, 0.490493
7, 11, 0.740526, 0.0846223, 0.132374, 0.0153216, 0.587851, 0.0242298, 0.449184, 0.475817, 0.56375, 0.740526, 0.437632, 0.6255, 0.375699, 0.147497, 0.476804
8, 23, 0.751053, 0.0804609, 0.132874, 0.0165686, 0.582198, 0.0250103, 0.420625, 0.461319, 0.57125, 0.751053, 0.434474, 0.6325, 0.372921, 0.150434, 0.476644
9, 12, 0.791053, 0.052344, 0.122574, 0.0138288, 0.553212, 0.0241812, 0.424903, 0.484364, 0.60875, 0.791053, 0.407632, 0.663, 0.430143, 0.127265, 0.442592
10, 13, 0.802105, 0.0434776, 0.12193, 0.0136072, 0.53901, 0.0242045, 0.564554, 0.396177, 0.63, 0.802105, 0.397105, 0.668, 0.433721, 0.129073, 0.437206
11, 6, 0.812632, 0.0409851, 0.115608, 0.0141196, 0.529879, 0.022818, 0.455827, 0.455058, 0.6425, 0.812632, 0.390263, 0.678, 0.468842, 0.122426, 0.408731
12, 14, 0.812632, 0.0460759, 0.116865, 0.0146434, 0.528949, 0.0243504, 0.486301, 0.361058, 0.6425, 0.812632, 0.388158, 0.6765, 0.461859, 0.123671, 0.414471
13, 18, 0.827895, 0.0426641, 0.117135, 0.0138179, 0.517006, 0.0237377, 0.521942, 0.372966, 0.63875, 0.827895, 0.383421, 0.6865, 0.46036, 0.122846, 0.416794
14, 11, 0.841579, 0.0430776, 0.114015, 0.0138935, 0.508251, 0.0238772, 0.463211, 0.36751, 0.65, 0.841579, 0.379737, 0.6865, 0.477693, 0.112586, 0.409721
15, 14, 0.846842, 0.0447183, 0.113337, 0.0158416, 0.506174, 0.0245252, 0.497011, 0.365573, 0.64625, 0.846842, 0.379474, 0.69, 0.481461, 0.112525, 0.406014
16, 18, 0.858947, 0.0420262, 0.11295, 0.0140955, 0.500044, 0.0247817, 0.542804, 0.358817, 0.65, 0.858947, 0.379737, 0.701, 0.483612, 0.108824, 0.407564
17, 9, 0.872105, 0.0381388, 0.109668, 0.0164549, 0.490747, 0.0226257, 0.547322, 0.349434, 0.63375, 0.872105, 0.370526, 0.711, 0.501844, 0.103739, 0.394416
18, 14, 0.875789, 0.0383308, 0.108878, 0.0179038, 0.484303, 0.0245087, 0.523026, 0.425077, 0.6375, 0.875789, 0.364211, 0.7185, 0.506232, 0.104273, 0.389495
19, 12, 0.882105, 0.0350069, 0.109281, 0.0182664, 0.474533, 0.0253559, 0.558998, 0.457418, 0.65625, 0.882105, 0.358421, 0.724, 0.503996, 0.105358, 0.390646
20, 17, 0.885789, 0.0341538, 0.107985, 0.0180372, 0.471111, 0.0238237, 0.566939, 0.486692, 0.67, 0.885789, 0.359211, 0.727, 0.511192, 0.0964424, 0.392366
21, 15, 0.896842, 0.0315087, 0.099764, 0.016349, 0.458501, 0.0250166, 0.525391, 0.349219, 0.67625, 0.896842, 0.342895, 0.75, 0.556867, 0.0814606, 0.361673
22, 17, 0.905263, 0.0246864, 0.0966258, 0.0179863, 0.445709, 0.0206579, 0.557332, 0.473235, 0.69375, 0.905263, 0.332105, 0.767, 0.574301, 0.0738444, 0.351855
23, 15, 0.907368, 0.0279691, 0.0941313, 0.0196637, 0.443398, 0.0206324, 0.548821, 0.39479, 0.69375, 0.907368, 0.325, 0.7725, 0.58816, 0.0662303, 0.34561
24, 18, 0.91, 0.0281419, 0.0940465, 0.0176706, 0.438291, 0.021227, 0.465576, 0.421892, 0.6975, 0.91, 0.321053, 0.77, 0.58863, 0.0662263, 0.345143
25, 11, 0.908947, 0.0323202, 0.0885124, 0.0150025, 0.441701, 0.0221148, 0.499164, 0.296991, 0.7075, 0.908947, 0.326316, 0.7605, 0.619376, 0.0551394, 0.325485
26, 19, 0.913684, 0.0320318, 0.0912367, 0.0158976, 0.439467, 0.0236013, 0.566643, 0.300537, 0.70625, 0.913684, 0.327895, 0.7625, 0.60424, 0.0601212, 0.335638
27, 15, 0.917368, 0.0300092, 0.0881167, 0.0164162, 0.4292, 0.0228362, 0.497404, 0.419457, 0.71, 0.917368, 0.321053, 0.772, 0.621574, 0.0589576, 0.319469
28, 13, 0.921579, 0.0311328, 0.0833807, 0.0149738, 0.423261, 0.0229493, 0.539599, 0.412218, 0.7075, 0.921579, 0.313158, 0.779, 0.647885, 0.050497, 0.301618
29, 15, 0.919474, 0.035271, 0.0866942, 0.0158618, 0.424481, 0.0231834, 0.473825, 0.446085, 0.71, 0.919474, 0.317368, 0.781, 0.629477, 0.0551657, 0.315358
30, 19, 0.925263, 0.0308513, 0.0850411, 0.0169282, 0.418501, 0.0241886, 0.555511, 0.435731, 0.71875, 0.925263, 0.321579, 0.7825, 0.638661, 0.0534465, 0.307893
31, 14, 0.925789, 0.0341862, 0.0838505, 0.0163961, 0.41537, 0.0236458, 0.531452, 0.519654, 0.71625, 0.925789, 0.310526, 0.792, 0.645275, 0.049297, 0.305428
32, 13, 0.93, 0.0341538, 0.0825084, 0.0164023, 0.410994, 0.024112, 0.560278, 0.502773, 0.7125, 0.93, 0.296579, 0.811, 0.652731, 0.0474404, 0.299828
33, 13, 0.932632, 0.0325125, 0.0834931, 0.0149621, 0.407147, 0.0260796, 0.493537, 0.338992, 0.71375, 0.932632, 0.295526, 0.8055, 0.647261, 0.0491111, 0.303628
34, 14, 0.941053, 0.0271244, 0.0830291, 0.0156119, 0.394424, 0.0239231, 0.477273, 0.466904, 0.73, 0.941053, 0.294211, 0.809, 0.649838, 0.0486444, 0.301517
35, 20, 0.943158, 0.025438, 0.08154, 0.0150208, 0.391366, 0.0244589, 0.445199, 0.440717, 0.735, 0.943158, 0.292895, 0.8135, 0.658111, 0.0453899, 0.296499
36, 10, 0.946842, 0.0216942, 0.0798651, 0.0156012, 0.387261, 0.023161, 0.449856, 0.431951, 0.74, 0.946842, 0.285, 0.815, 0.667416, 0.0461333, 0.286451
37, 9, 0.948421, 0.0196648, 0.0793087, 0.0146771, 0.387414, 0.0225268, 0.450001, 0.428299, 0.73875, 0.948421, 0.287105, 0.815, 0.670507, 0.0441677, 0.285325
38, 14, 0.951053, 0.0153536, 0.0792524, 0.0170557, 0.384105, 0.0226884, 0.497651, 0.407766, 0.74, 0.951053, 0.286316, 0.8165, 0.67082, 0.0449051, 0.284275
39, 18, 0.947368, 0.0210526, 0.0784233, 0.0163908, 0.385006, 0.0238042, 0.567386, 0.40771, 0.74875, 0.947368, 0.282632, 0.8165, 0.675426, 0.040099, 0.284475
40, 19, 0.947895, 0.0203773, 0.078288, 0.0152351, 0.380182, 0.0246599, 0.501629, 0.416773, 0.7525, 0.947895, 0.277368, 0.822, 0.676178, 0.043097, 0.280725
41, 14, 0.949474, 0.0181102, 0.0768713, 0.0138217, 0.380707, 0.0245544, 0.499227, 0.410276, 0.7475, 0.949474, 0.28, 0.8165, 0.684048, 0.0398222, 0.276129
42, 12, 0.949474, 0.0195801, 0.0790782, 0.0151712, 0.382174, 0.0241541, 0.511804, 0.407261, 0.745, 0.949474, 0.280263, 0.819, 0.671788, 0.0465455, 0.281667
43, 9, 0.950526, 0.0179565, 0.0775829, 0.0140766, 0.380949, 0.0242717, 0.496607, 0.400472, 0.74875, 0.950526, 0.279211, 0.8185, 0.680095, 0.0406162, 0.279289
44, 18, 0.951053, 0.0170627, 0.0777913, 0.0155842, 0.380586, 0.0240725, 0.521054, 0.406086, 0.75, 0.951053, 0.283158, 0.8195, 0.678937, 0.0436, 0.277463
45, 16, 0.951053, 0.0186155, 0.0807124, 0.0146081, 0.381895, 0.0226516, 0.577731, 0.404917, 0.74625, 0.951053, 0.289211, 0.8185, 0.662709, 0.0490424, 0.288248
46, 12, 0.947895, 0.0229355, 0.0818036, 0.0160231, 0.383459, 0.0232487, 0.51429, 0.436014, 0.74625, 0.947895, 0.283158, 0.8235, 0.656646, 0.0484465, 0.294907
47, 17, 0.951053, 0.0200484, 0.0810305, 0.0175064, 0.382986, 0.0224096, 0.556034, 0.418271, 0.75125, 0.951053, 0.289474, 0.82, 0.660941, 0.0506242, 0.288434
48, 21, 0.948947, 0.0240671, 0.0805418, 0.0146983, 0.385402, 0.0226048, 0.505966, 0.355126, 0.7375, 0.948947, 0.285526, 0.816, 0.663657, 0.0499495, 0.286394
49, 17, 0.953158, 0.022199, 0.0792404, 0.0142409, 0.379855, 0.0226529, 0.493687, 0.328278, 0.7375, 0.953158, 0.287105, 0.8205, 0.670887, 0.048004, 0.281109
50, 16, 0.951579, 0.0243247, 0.0791218, 0.0136771, 0.37638, 0.0220583, 0.526675, 0.408291, 0.745, 0.951579, 0.281842, 0.8185, 0.671545, 0.0457697, 0.282685
51, 8, 0.953158, 0.0245683, 0.0796185, 0.015566, 0.371907, 0.0210541, 0.570815, 0.399013, 0.7575, 0.953158, 0.278421, 0.823, 0.668786, 0.0468303, 0.284384
52, 10, 0.955263, 0.0227901, 0.0779862, 0.0149853, 0.37101, 0.0211797, 0.506013, 0.389485, 0.75875, 0.955263, 0.279737, 0.8235, 0.677855, 0.0457374, 0.276408
53, 5, 0.957368, 0.0206474, 0.078, 0.0157692, 0.371362, 0.0214671, 0.520295, 0.392911, 0.76, 0.957368, 0.282368, 0.8245, 0.677778, 0.043398, 0.278824
54, 11, 0.957368, 0.0206474, 0.0768105, 0.0146003, 0.371362, 0.0214671, 0.475232, 0.392911, 0.76, 0.957368, 0.282368, 0.8245, 0.684386, 0.0433414, 0.272273
55, 12, 0.954211, 0.0254108, 0.0779742, 0.0151387, 0.373927, 0.0208419, 0.607536, 0.446681, 0.755, 0.954211, 0.279474, 0.8275, 0.677921, 0.0437859, 0.278293
56, 18, 0.956316, 0.0236022, 0.0782022, 0.0122509, 0.371919, 0.020839, 0.490212, 0.417012, 0.75625, 0.956316, 0.279474, 0.828, 0.676655, 0.0442586, 0.279087
57, 10, 0.96, 0.0224781, 0.0769393, 0.0150345, 0.367261, 0.0229891, 0.533335, 0.422399, 0.7575, 0.96, 0.281842, 0.831, 0.683671, 0.0406323, 0.275697
58, 21, 0.96, 0.0248207, 0.0780829, 0.0127049, 0.368659, 0.0246092, 0.467022, 0.345463, 0.75625, 0.96, 0.280263, 0.828, 0.677317, 0.0424606, 0.280222
59, 11, 0.956842, 0.0301244, 0.0770236, 0.0141832, 0.368505, 0.0241175, 0.544378, 0.462111, 0.76375, 0.956842, 0.276842, 0.832, 0.683202, 0.0374364, 0.279362
60, 10, 0.960526, 0.0251037, 0.0754433, 0.0129869, 0.365503, 0.0238899, 0.458738, 0.449215, 0.76375, 0.960526, 0.277105, 0.834, 0.691982, 0.0380687, 0.269949
61, 15, 0.96, 0.0259127, 0.0790476, 0.0142123, 0.362432, 0.0250177, 0.555899, 0.448227, 0.765, 0.96, 0.273947, 0.832, 0.671958, 0.0423495, 0.285693
62, 9, 0.962632, 0.0238822, 0.0751989, 0.0119296, 0.355111, 0.0244639, 0.545434, 0.390554, 0.77875, 0.962632, 0.271316, 0.839, 0.693339, 0.0414283, 0.265232
63, 10, 0.961053, 0.0264418, 0.0745465, 0.0127667, 0.356792, 0.0248225, 0.521734, 0.408367, 0.78375, 0.961053, 0.269474, 0.837, 0.696964, 0.0381131, 0.264923
64, 20, 0.963158, 0.0241188, 0.0740018, 0.0115258, 0.353806, 0.0244475, 0.467242, 0.3933, 0.78125, 0.963158, 0.267895, 0.84, 0.69999, 0.0407636, 0.259246
65, 12, 0.965263, 0.024932, 0.0716724, 0.0134495, 0.353818, 0.0251569, 0.546786, 0.387171, 0.7825, 0.965263, 0.269474, 0.839, 0.712931, 0.0350364, 0.252032
66, 21, 0.968421, 0.0257841, 0.0723887, 0.0119489, 0.348327, 0.0256449, 0.530669, 0.347542, 0.78625, 0.968421, 0.270526, 0.8425, 0.708952, 0.0361414, 0.254907
67, 19, 0.963158, 0.0337007, 0.0718076, 0.0126736, 0.351899, 0.0257938, 0.487829, 0.344118, 0.78625, 0.963158, 0.266316, 0.839, 0.71218, 0.0355717, 0.252248
