Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 1, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
30, 15, 1, 0, 0.199404, 0.00575976, 0.0721253, 0.0155739, 0.786032, 0.420266, 0.07875, 0.0715789, 1, 0.029, 0.00330909, 0.973713, 0.0229778
31, 17, 1, 0, 0.199306, 0.0046147, 0.0708364, 0.0162145, 0.767809, 0.401641, 0.07375, 0.0710526, 1, 0.0295, 0.00385657, 0.9774, 0.0187434
32, 15, 0.998947, 0.00515682, 0.199532, 0.00373229, 0.0705455, 0.0163109, 0.752479, 0.40102, 0.07625, 0.0668421, 0.998947, 0.028, 0.00259798, 0.984824, 0.0125778
33, 18, 1, 0, 0.199618, 0.00499772, 0.0686909, 0.0171915, 0.836364, 0.394381, 0.07625, 0.0663158, 1, 0.0255, 0.00212121, 0.981089, 0.0167899
34, 21, 1, 0, 0.199618, 0.00463536, 0.0679152, 0.0174667, 0.788183, 0.385663, 0.07375, 0.0663158, 1, 0.0235, 0.00212121, 0.982626, 0.0152525
35, 20, 1, 0, 0.199343, 0.00667078, 0.0693414, 0.017291, 0.866461, 0.396995, 0.0725, 0.0694737, 1, 0.025, 0.00365051, 0.971442, 0.0249071
36, 11, 1, 0, 0.199467, 0.00399989, 0.069701, 0.0171498, 0.79538, 0.396959, 0.07125, 0.0705263, 1, 0.0255, 0.00296162, 0.981491, 0.0155475
37, 10, 1, 0, 0.199671, 0.00475084, 0.0700889, 0.0168443, 0.863179, 0.397806, 0.07125, 0.0705263, 1, 0.024, 0.00182828, 0.982079, 0.0160929
38, 16, 1, 0, 0.199516, 0.00421953, 0.0697939, 0.0173832, 0.808352, 0.394619, 0.07, 0.0705263, 1, 0.025, 0.00269091, 0.982701, 0.0146081
39, 11, 1, 0, 0.199621, 0.00564869, 0.0677131, 0.0173406, 0.784865, 0.385077, 0.06875, 0.0684211, 1, 0.025, 0.00210303, 0.975939, 0.0219576
40, 12, 0.999737, 0.00261839, 0.199687, 0.00437394, 0.0678343, 0.0166244, 0.793294, 0.384643, 0.075, 0.0652632, 0.999737, 0.024, 0.00173939, 0.981592, 0.0166687
41, 17, 1, 0, 0.199544, 0.00521803, 0.0682667, 0.0164892, 0.750712, 0.3798, 0.08, 0.0642105, 1, 0.0235, 0.00253535, 0.977349, 0.0201152
42, 20, 1, 0, 0.199748, 0.00472413, 0.068004, 0.0168856, 0.769735, 0.380955, 0.075, 0.0657895, 1, 0.0255, 0.00140202, 0.983432, 0.0151657
43, 21, 0.998158, 0.0067144, 0.199566, 0.00687789, 0.0714061, 0.0177522, 0.870254, 0.405202, 0.07, 0.0689474, 0.998158, 0.0285, 0.00241212, 0.973915, 0.0236727
44, 13, 0.998421, 0.00624965, 0.199572, 0.00423464, 0.071899, 0.0179814, 0.812194, 0.406313, 0.07875, 0.0663158, 0.998421, 0.027, 0.00237576, 0.981131, 0.0164929
45, 11, 0.999474, 0.00368421, 0.199485, 0.00474165, 0.0732162, 0.0184395, 0.723556, 0.414772, 0.07625, 0.0715789, 0.999474, 0.0295, 0.00286061, 0.978172, 0.0189677
46, 14, 0.998158, 0.0067144, 0.199405, 0.00606588, 0.0739434, 0.0179864, 0.808726, 0.425309, 0.07625, 0.07, 0.998158, 0.0295, 0.00330707, 0.974978, 0.0217152
47, 19, 1, 0, 0.199518, 0.00496483, 0.069503, 0.0183481, 0.786186, 0.39701, 0.0775, 0.0673684, 1, 0.027, 0.00267879, 0.978097, 0.0192242
48, 18, 1, 0, 0.199767, 0.00385656, 0.0640606, 0.0197138, 0.832297, 0.353186, 0.07, 0.0615789, 1, 0.0245, 0.00129697, 0.98923, 0.00947273
49, 14, 1, 0, 0.199818, 0.00443453, 0.0630303, 0.0199592, 0.800565, 0.348039, 0.0625, 0.0631579, 1, 0.024, 0.0010101, 0.986349, 0.0126404
50, 12, 1, 0, 0.199809, 0.00316186, 0.065297, 0.0188101, 0.849573, 0.363731, 0.065, 0.0657895, 1, 0.0245, 0.00106263, 0.990267, 0.00867071
51, 19, 1, 0, 0.199724, 0.00362184, 0.063604, 0.0199121, 0.729317, 0.3571, 0.05625, 0.0668421, 1, 0.0235, 0.00153333, 0.988101, 0.0103657
52, 15, 1, 0, 0.199819, 0.00355482, 0.0606747, 0.0201701, 0.897007, 0.33335, 0.05875, 0.0610526, 1, 0.023, 0.00100808, 0.990147, 0.00884444
53, 12, 1, 0, 0.199875, 0.00424378, 0.0597333, 0.019059, 0.820455, 0.321517, 0.06875, 0.0552632, 1, 0.0215, 0.000692929, 0.986451, 0.0128566
54, 19, 1, 0, 0.199747, 0.00323235, 0.0608606, 0.0183153, 0.837608, 0.32919, 0.06875, 0.0568421, 1, 0.023, 0.00140606, 0.989826, 0.00876768
55, 15, 1, 0, 0.199885, 0.00361544, 0.0590788, 0.0190029, 0.797188, 0.315587, 0.07, 0.0536842, 1, 0.0215, 0.000638384, 0.989061, 0.010301
56, 8, 1, 0, 0.199777, 0.00367011, 0.0566182, 0.0194553, 0.841488, 0.303427, 0.0625, 0.0531579, 1, 0.0205, 0.0012404, 0.989097, 0.00966263
57, 9, 1, 0, 0.199793, 0.00304482, 0.0565535, 0.0190958, 0.816682, 0.302676, 0.06125, 0.0536842, 1, 0.0205, 0.00115152, 0.989889, 0.0089596
58, 17, 1, 0, 0.19984, 0.00312604, 0.0558101, 0.0192794, 0.907977, 0.297336, 0.0625, 0.0521053, 1, 0.0205, 0.000886869, 0.991152, 0.00796162
59, 12, 1, 0, 0.199785, 0.00447, 0.0577051, 0.0196942, 0.838473, 0.310472, 0.0575, 0.0568421, 1, 0.0245, 0.00119394, 0.985988, 0.0128182
