Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 1, 0, 0, 0, 0, 0

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
40, 1110111010101110111011000010111011101010011011101010111011000010, 0.593183, 0.140057, 0.270707, 0.593183, 0.39185, 0.625, 0.368421, 0.631579, 0.45
41, 1110111010101110111011000010111011101010011011101010111011000010, 0.580505, 0.141127, 0.270707, 0.580505, 0.39185, 0.625, 0.368421, 0.631579, 0.45
42, 1010101011101110111011101110101011101000001011101110111011101010, 0.578256, 0.141317, 0.24202, 0.578256, 0.169279, 0.75, 0.368421, 0.710526, 0.3
43, 1100101011101110101011101110101011101110101011101110110010101110, 0.575434, 0.141556, 0.250101, 0.575434, 0.231975, 0.625, 0.368421, 0.710526, 0.4
44, 1010111011101010111011101110111010100110111011101100001011101010, 0.574501, 0.141634, 0.25697, 0.574501, 0.285266, 0.75, 0.421053, 0.736842, 0.4
45, 1110111010101110111011000010111011101010011011101110101010101110, 0.573544, 0.141715, 0.245657, 0.573544, 0.197492, 0.625, 0.263158, 0.631579, 0.45
46, 1010111011000010111010101110111011101100001011101110111011101100, 0.572228, 0.141826, 0.273939, 0.572228, 0.416928, 0.625, 0.421053, 0.684211, 0.35
47, 1010111010000010111011101110111010101110111011001110111011000010, 0.570267, 0.141992, 0.286465, 0.570267, 0.514107, 0.625, 0.473684, 0.684211, 0.5
48, 1111011011101110111011000010111010101110101010101110110000101110, 0.568664, 0.142127, 0.306667, 0.568664, 0.670846, 0.5, 0.263158, 0.578947, 0.5
49, 1110101011101110101011101100001011101100101011101110111011101010, 0.565865, 0.142364, 0.249697, 0.565865, 0.22884, 0.75, 0.421053, 0.736842, 0.3
50, 1110101010101110101011101110101011101100001011101100101011101110, 0.56577, 0.142372, 0.255758, 0.56577, 0.275862, 0.75, 0.368421, 0.684211, 0.35
51, 1010111011001110110000101110111010100110111011101100001011101110, 0.559646, 0.142889, 0.31596, 0.559646, 0.742947, 0.75, 0.421053, 0.684211, 0.45
52, 1110101011101110111011101010011011101110111011101100001011101100, 0.557326, 0.143085, 0.250505, 0.557326, 0.23511, 0.625, 0.421053, 0.736842, 0.3
53, 1110111010101110111011000010111011101110111011000010111011101010, 0.552398, 0.143501, 0.261414, 0.552398, 0.319749, 0.625, 0.368421, 0.684211, 0.45
54, 1110111011000010111010101110111010101110111011101010111011101010, 0.550795, 0.143636, 0.254545, 0.550795, 0.266458, 0.75, 0.421053, 0.763158, 0.4
55, 1110111011000010111011101010011011101010101011101100111010101110, 0.548977, 0.14379, 0.257778, 0.548977, 0.291536, 0.5, 0.421053, 0.657895, 0.4
56, 1110111010101110101011101110101011101110101011101100001011101110, 0.547016, 0.143956, 0.236364, 0.547016, 0.125392, 0.75, 0.368421, 0.736842, 0.35
57, 1010111011101010111011101010011011101110110000101100101011101110, 0.541993, 0.14438, 0.26101, 0.541993, 0.316614, 0.625, 0.421053, 0.684211, 0.35
58, 1100001011101010111011101010101011101110111011101010011011101110, 0.540797, 0.144481, 0.255758, 0.540797, 0.275862, 0.625, 0.526316, 0.763158, 0.3
59, 1110111010100110111011001110111010101110111010101110111011000010, 0.534147, 0.145042, 0.267475, 0.534147, 0.366771, 0.625, 0.368421, 0.684211, 0.55
60, 1010111011101010111011101100101011101110101011101110101011101100, 0.533285, 0.145115, 0.231111, 0.533285, 0.0846395, 0.75, 0.368421, 0.736842, 0.3
61, 1110111011000010111011101110111011000010111011101010011011101110, 0.529219, 0.145459, 0.271515, 0.529219, 0.398119, 0.5, 0.473684, 0.710526, 0.4
62, 1010111011101010111011101100001011101110101001101110101011101110, 0.513718, 0.146768, 0.239192, 0.513718, 0.147335, 0.75, 0.421053, 0.736842, 0.3
63, 1110111010101010111011000010111011101100001011101010111011101010, 0.513647, 0.146774, 0.256566, 0.513647, 0.282132, 0.625, 0.368421, 0.631579, 0.4
64, 1110111011101010111011101010111011101100001011101110101001101110, 0.508863, 0.147178, 0.229495, 0.508863, 0.0721003, 0.625, 0.315789, 0.684211, 0.3
65, 1110101011101110101011101110101011101100001011101110110000101110, 0.508193, 0.147234, 0.268283, 0.508193, 0.373041, 0.625, 0.368421, 0.657895, 0.4
66, 1110111011000010111011101110111011101010111011101010111011101100, 0.507978, 0.147253, 0.241212, 0.507978, 0.163009, 0.5, 0.421053, 0.736842, 0.35
67, 1110111010101110101011101110101011101110101011101000001011101110, 0.499294, 0.147986, 0.244444, 0.499294, 0.188088, 0.75, 0.421053, 0.736842, 0.35
68, 1110111010100110111011101100001011001010111011101010111011000010, 0.499127, 0.148, 0.294949, 0.499127, 0.579937, 0.75, 0.473684, 0.684211, 0.45
69, 0110111011101010101011101110111011000010111011101010011011101110, 0.498912, 0.148018, 0.269899, 0.498912, 0.38558, 0.5, 0.526316, 0.710526, 0.4
70, 1110101011101110101011101100001011101110101011101110101011101110, 0.498027, 0.148093, 0.234747, 0.498027, 0.112853, 0.75, 0.421053, 0.763158, 0.3
71, 1110101011101010101011101100001010101110111011101110101001101110, 0.492668, 0.148545, 0.260606, 0.492668, 0.31348, 0.75, 0.473684, 0.736842, 0.35
72, 1110101001101110111011001110111010101110111011000010111011101110, 0.49164, 0.148632, 0.269495, 0.49164, 0.382445, 0.5, 0.421053, 0.710526, 0.4
73, 0010111011101010011011101110111010100110111011101100001011001010, 0.485157, 0.14918, 0.306263, 0.485157, 0.667712, 0.75, 0.526316, 0.684211, 0.45
74, 1110111010100110111011101100111011101010111011101100001011101110, 0.481952, 0.149451, 0.252929, 0.481952, 0.253918, 0.625, 0.368421, 0.710526, 0.4
75, 1010111011101010111011101100001011101110101001101110111011101110, 0.479751, 0.149636, 0.233131, 0.479751, 0.100313, 0.625, 0.421053, 0.736842, 0.3
76, 1110101011101010111011101010111011101010111011000010111011101010, 0.47157, 0.150327, 0.252525, 0.47157, 0.250784, 0.625, 0.473684, 0.736842, 0.35
77, 1110001011101110101011101000001011101110101011101110111011101010, 0.470733, 0.150398, 0.256162, 0.470733, 0.278997, 0.75, 0.473684, 0.736842, 0.3
78, 1110111011101010101011101100001011101110110000101110101011101110, 0.468604, 0.150578, 0.265051, 0.468604, 0.347962, 0.75, 0.421053, 0.710526, 0.35
79, 1110110000101110101011111110111011101110101001101110111011000010, 0.460734, 0.151242, 0.298586, 0.460734, 0.60815, 0.5, 0.368421, 0.657895, 0.45
80, 1110101001101110111010101110111011000010111011101010011011101110, 0.460687, 0.151246, 0.284444, 0.460687, 0.498433, 0.625, 0.421053, 0.710526, 0.35
81, 1110101011101110101010101010111011001110110000101110111010100110, 0.460017, 0.151303, 0.297778, 0.460017, 0.601881, 0.625, 0.421053, 0.657895, 0.45
82, 1010111011000010111011101100001011101010111011101010111011101010, 0.459873, 0.151315, 0.267475, 0.459873, 0.366771, 0.75, 0.526316, 0.736842, 0.35
83, 1110110000101110101011111110101011101110101010101110110000101110, 0.446095, 0.152479, 0.307879, 0.446095, 0.680251, 0.5, 0.315789, 0.605263, 0.55
84, 1110111011101110101011101110101011101110110000101110111010100110, 0.440426, 0.152958, 0.256162, 0.440426, 0.278997, 0.625, 0.368421, 0.710526, 0.45
85, 1100101011101110111011101010011011101110110000101110110011110110, 0.426743, 0.154113, 0.308687, 0.426743, 0.68652, 0.5, 0.421053, 0.684211, 0.45
86, 1110111010101110111011000010111011101010011011101111111011101100, 0.417175, 0.154921, 0.264646, 0.417175, 0.344828, 0.5, 0.210526, 0.631579, 0.35
87, 1110111011000010111011101010011011101110101010101110111011101100, 0.409855, 0.155539, 0.252929, 0.409855, 0.253918, 0.5, 0.421053, 0.684211, 0.4
88, 1110101011101100001011101110101011101110111010101010111011000010, 0.409568, 0.155564, 0.290505, 0.409568, 0.545455, 0.75, 0.526316, 0.736842, 0.4
89, 0010111010101110111011101010111010101010111011000010101011101110, 0.408898, 0.15562, 0.281616, 0.408898, 0.476489, 0.625, 0.473684, 0.657895, 0.5
90, 1010101011101100111011101110101010101110110000101110111011000010, 0.38981, 0.157232, 0.304646, 0.38981, 0.655172, 0.75, 0.421053, 0.657895, 0.45
91, 1110111011101110111011101010011011101100111011101010111011101010, 0.38438, 0.157691, 0.220202, 0.38438, 0, 0.625, 0.368421, 0.763158, 0.3
92, 1110110000101110111111101110110010101110111011101010011001101110, 7.75, 7.75, 32, 9.72821e-72, 1.48441e-76, 9.72821e-72, 1.48441e-76, 9.72821e-72, 9.72821e-72
93, 1110111011101010101010101110110011101110101011101110110000101110, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
94, 1110110010101010111011001110111010101110111011000010111011101010, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
95, 1110101011101110111011000010111011101010101011101100111011101010, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
96, 1010111011101110111010101010011011101010101011101100101011101110, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
97, 1110111011101110101011101110101011101110110000101110111010100110, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
98, 1100111010101010111011001110111010101110111011000010111011101010, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
99, 1110111010101110111010101110111010101010111011000010111010101010, 7.75, 7.75, 32, 0, 0, 0, 0, 0, 0
100, 1100111011101100001011101110110000101110111011111110111011001010, 7.75, 7.75, 32, 7.75, 32, 9.73041e-72, 9.73041e-72, 9.73041e-72, 9.73041e-72
