Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 1, 0, 0, 0

Rank, Strategy, Fitness, Average Score, Average Diversity, Relative Average Score, Relative Average Diversity, Niceness, Forgiveness, Retaliation, Non-Envy
1, 0101000001001010010100001100000001011000001010101100000001011000, 1, 0.0632303, 0.472929, 0.522323, 0.191344, 1, 0.578947, 0.315789, 0.55
2, 1110100100101010001010100101000011000000010110000010101001010000, 1, 0.0405778, 0.508485, 0.839764, 0.3918, 1, 0.631579, 0.447368, 0.65
3, 0100101001010000110000001000101001101010010100000010001010100010, 1, 0.0490404, 0.476162, 0.721173, 0.209567, 1, 0.736842, 0.421053, 0.65
4, 0000110000101110100100101010001010100111101101010100001000100010, 1, 0.0432869, 0.607879, 0.801801, 0.952164, 1, 0.631579, 0.5, 0.7
5, 0101000011000000110000000101100000101010010100001011101001001010, 1, 0.0560808, 0.477374, 0.622512, 0.216401, 1, 0.526316, 0.342105, 0.55
6, 0101000000100010101000100011001001101010010100000101100000101010, 1, 0.0408, 0.48303, 0.83665, 0.248292, 1, 0.631579, 0.394737, 0.6
7, 0110001010111010010010101000101001101010010100000101100001001000, 1, 0.0499737, 0.479394, 0.708094, 0.22779, 1, 0.526316, 0.421053, 0.55
8, 0001000100010100101010100110001011000101101001111010001000110010, 1, 0.0458808, 0.590909, 0.76545, 0.856492, 1, 0.684211, 0.526316, 0.6
9, 1001010000110000001100000001101010101101010100001000100010110000, 1, 0.0618727, 0.543232, 0.541347, 0.587699, 1, 0.631579, 0.421053, 0.6
10, 0011000000010110001100000011000000011010100101100001001000110000, 1, 0.0384626, 0.527071, 0.869405, 0.496583, 1, 0.789474, 0.421053, 0.65
11, 0010101001010000110000001100000001101010101101010100001000100010, 1, 0.0467556, 0.50404, 0.753192, 0.366743, 1, 0.789474, 0.473684, 0.65
12, 0110101001010000010010100101000011000000010110000010101001010000, 1, 0.0543111, 0.457576, 0.647312, 0.104784, 1, 0.736842, 0.421053, 0.7
